unix_timestamp,rr
1477496529.741870,0.687531
1477496530.491904,0.750034
1477496619.589733,0.578151
1477496638.434345,1.031297
1477496641.981383,0.781286
1477496642.809546,0.828163
1477496649.762989,0.781286
1477496650.559901,0.796911
1477496651.184929,0.625029
1477496651.997466,0.812537
1477496665.638716,0.796911
1477496666.373124,0.734409
1477496667.154410,0.781286
1477496667.873193,0.718783
1477496668.591976,0.718783
1477496669.326385,0.734409
1477496670.060793,0.734409
1477496670.795202,0.734409
1477496671.529610,0.734409
1477496672.310896,0.781286
1477496673.029679,0.718783
1477496673.810965,0.781286
1477496679.826865,0.781286
1477496680.592525,0.765660
1477496681.373811,0.781286
1477496682.186348,0.812537
1477496687.108449,0.687531
1477496687.874109,0.765660
1477496688.608517,0.734409
1477496689.374177,0.765660
1477496690.171089,0.796911
1477496690.952374,0.781286
1477496691.718035,0.765660
1477496692.436817,0.718783
1477496693.249355,0.812537
1477496694.186898,0.937543
1477496710.937664,0.750034
1477496711.656447,0.718783
1477496712.406482,0.750034
1477496713.172142,0.765660
1477496713.797170,0.625029
1477496714.437824,0.640654
1477496715.140982,0.703157
1477496745.720506,0.781286
1477496746.595546,0.875040
1477496747.314329,0.718783
1477496748.173744,0.859414
1477496748.939404,0.765660
1477496749.689438,0.750034
1477496750.408221,0.718783
1477496751.205132,0.796911
1477496751.830161,0.625029
1477496752.533318,0.703157
1477496753.252101,0.718783
1477496753.986510,0.734409
1477496754.752170,0.765660
1477496755.517830,0.765660
1477496756.299116,0.781286
1477496757.111653,0.812537
1477496757.892939,0.781286
1477496758.658599,0.765660
1477496759.424259,0.765660
1477496760.174293,0.750034
1477496760.924327,0.750034
1477496761.611859,0.687531
1477496762.361893,0.750034
1477496763.111928,0.750034
1477496763.893213,0.781286
1477496764.643248,0.750034
1477496765.408908,0.765660
1477496766.174568,0.765660
1477496766.893351,0.718783
1477496767.659011,0.765660
1477496768.315291,0.656280
1477496769.080951,0.765660
1477496773.690537,0.796911
1477496774.393694,0.703157
1477496775.034348,0.640654
1477496775.893763,0.859414
1477496776.612545,0.718783
1477496777.300077,0.687531
1477496777.971983,0.671906
1477496778.643888,0.671906
1477496779.347046,0.703157
1477496780.097080,0.750034
1477496780.878366,0.781286
1477496781.706529,0.828163
1477496782.534692,0.828163
1477496783.347229,0.812537
1477496784.097263,0.750034
1477496784.847297,0.750034
1477496785.581706,0.734409
1477496786.347366,0.765660
1477496787.097400,0.750034
1477496787.925563,0.828163
1477496788.675598,0.750034
1477496789.456883,0.781286
1477496790.222543,0.765660
1477496791.019455,0.796911
1477496791.785115,0.765660
1477496792.566401,0.781286
1477496793.347687,0.781286
1477496794.097721,0.750034
1477496794.832129,0.734409
1477496795.550912,0.718783
1477496796.285321,0.734409
1477496797.035355,0.750034
1477496797.801015,0.765660
1477496798.551050,0.750034
1477496799.301084,0.750034
1477496800.004241,0.703157
1477496800.723024,0.718783
1477496801.426181,0.703157
1477496802.144964,0.718783
1477496802.926250,0.781286
1477496803.629407,0.703157
1477496804.395067,0.765660
1477496805.066973,0.671906
1477496805.785756,0.718783
1477496806.488913,0.703157
1477496807.113942,0.625029
1477496807.738970,0.625029
1477496808.473379,0.734409
1477496809.192162,0.718783
1477496809.942196,0.750034
1477496810.692230,0.750034
1477496811.473516,0.781286
1477496812.207925,0.734409
1477496812.942333,0.734409
1477496813.676742,0.734409
1477496814.411151,0.734409
1477496815.129934,0.718783
1477496815.817465,0.687531
1477496816.536248,0.718783
1477496817.239405,0.703157
1477496817.989439,0.750034
1477496818.723848,0.734409
1477496819.473882,0.750034
1477496820.223917,0.750034
1477496820.989577,0.765660
1477496821.739611,0.750034
1477496837.912226,0.796911
1477496838.724764,0.812537
1477496839.568552,0.843789
1477496840.334212,0.765660
1477496841.099872,0.765660
1477496841.849907,0.750034
1477496842.584315,0.734409
1477496843.365601,0.781286
1477496844.146887,0.781286
1477496844.959424,0.812537
1477496845.771961,0.812537
1477496846.584498,0.812537
1477496847.397036,0.812537
1477496848.178321,0.781286
1477496849.006484,0.828163
1477496849.662764,0.656280
1477496850.365921,0.703157
1477496851.022202,0.656280
1477496851.772236,0.750034
1477496852.491019,0.718783
1477496853.256679,0.765660
1477496853.975462,0.718783
1477496858.413165,0.718783
1477496859.131948,0.718783
1477496859.866356,0.734409
1477496860.632016,0.765660
1477496861.382051,0.750034
1477496862.163337,0.781286
1477496862.960248,0.796911
1477496863.757159,0.796911
1477496864.507194,0.750034
1477496865.272854,0.765660
1477496866.022888,0.750034
1477496866.772923,0.750034
1477496867.491705,0.718783
1477496868.241740,0.750034
1477496869.007400,0.765660
1477496869.804311,0.796911
1477496870.585597,0.781286
1477496871.351257,0.765660
1477496872.101291,0.750034
1477496872.804449,0.703157
1477496873.429477,0.625029
1477496874.085757,0.656280
1477496874.804540,0.718783
1477496875.523323,0.718783
1477496876.304609,0.781286
1477496877.101520,0.796911
1477496877.914057,0.812537
1477496878.710969,0.796911
1477496879.476629,0.765660
1477496880.242289,0.765660
1477496881.007949,0.765660
1477496881.789235,0.781286
1477496882.554895,0.765660
1477496883.304929,0.750034
1477496884.070589,0.765660
1477496884.836249,0.765660
1477496885.648787,0.812537
1477496886.351944,0.703157
1477496887.101978,0.750034
1477496887.852012,0.750034
1477496888.492667,0.640654
1477496889.195824,0.703157
1477496889.883355,0.687531
1477496890.524010,0.640654
1477496891.227167,0.703157
1477496891.992827,0.765660
1477496892.758487,0.765660
1477496893.555398,0.796911
1477496894.336684,0.781286
1477496895.149221,0.812537
1477496895.946133,0.796911
1477496896.758670,0.812537
1477496897.555582,0.796911
1477496898.321242,0.765660
1477496899.071276,0.750034
1477496899.805685,0.734409
1477496900.586970,0.781286
1477496901.337005,0.750034
1477496902.118290,0.781286
1477496902.899576,0.781286
1477496903.712113,0.812537
1477496904.493399,0.781286
1477496905.290311,0.796911
1477496906.102848,0.812537
1477496906.868508,0.765660
1477496907.665419,0.796911
1477496908.431079,0.765660
1477496909.212365,0.781286
1477496909.962399,0.750034
1477496910.728060,0.765660
1477496911.509345,0.781286
1477496912.306257,0.796911
1477496913.071917,0.765660
1477496913.884454,0.812537
1477496914.681365,0.796911
1477496915.493903,0.812537
1477496916.243937,0.750034
1477496917.056474,0.812537
1477496917.853386,0.796911
1477496918.619046,0.765660
1477496919.384706,0.765660
1477496920.181617,0.796911
1477496921.009780,0.828163
1477496921.806692,0.796911
1477496922.634855,0.828163
1477496923.463017,0.828163
1477496924.275555,0.812537
1477496925.072466,0.796911
1477496925.885003,0.812537
1477496926.713166,0.828163
1477496927.510078,0.796911
1477496928.291363,0.781286
1477496929.088275,0.796911
1477496929.900812,0.812537
1477496930.697724,0.796911
1477496931.479009,0.781286
1477496932.291547,0.812537
1477496933.072832,0.781286
1477496933.822867,0.750034
1477496934.572901,0.750034
1477496935.307310,0.734409
1477496936.072970,0.765660
1477496936.838630,0.765660
1477496937.604290,0.765660
1477496938.385576,0.781286
1477496939.151236,0.765660
1477496939.901270,0.750034
1477496940.635679,0.734409
1477496941.370087,0.734409
1477496942.088870,0.718783
1477496942.838904,0.750034
1477496943.573313,0.734409
1477496944.323347,0.750034
1477496945.104633,0.781286
1477496945.885919,0.781286
1477496946.667205,0.781286
1477496947.464116,0.796911
1477496948.276653,0.812537
1477496949.042313,0.765660
1477496949.823599,0.781286
1477496950.573633,0.750034
1477496951.261165,0.687531
1477496952.011199,0.750034
1477496952.667479,0.656280
1477496953.339385,0.671906
1477496953.980039,0.640654
1477496954.698822,0.718783
1477496955.401979,0.703157
1477496956.198891,0.796911
1477496956.948925,0.750034
1477496957.683334,0.734409
1477496958.417742,0.734409
1477496959.152151,0.734409
1477496959.870934,0.718783
1477496960.636594,0.765660
1477496961.355377,0.718783
1477496962.121037,0.765660
1477496962.902323,0.781286
1477496963.730486,0.828163
1477496964.511771,0.781286
1477496965.324309,0.812537
1477496966.152472,0.828163
1477496966.949383,0.796911
1477496967.730669,0.781286
1477496968.527580,0.796911
1477496969.324492,0.796911
1477496970.074526,0.750034
1477496970.887063,0.812537
1477496971.699600,0.812537
1477496972.527763,0.828163
1477496973.355926,0.828163
1477496974.215341,0.859414
1477496975.012252,0.796911
1477496975.809164,0.796911
1477496976.621701,0.812537
1477496977.402987,0.781286
1477496978.106144,0.703157
1477496978.731172,0.625029
1477496979.387452,0.656280
1477496980.106235,0.718783
1477496980.871895,0.765660
1477496981.684433,0.812537
1477496982.528221,0.843789
1477496983.278255,0.750034
1477496983.997038,0.718783
1477496989.450413,0.812537
1477496990.262950,0.812537
1477496991.106739,0.843789
1477496991.934902,0.828163
1477496992.747439,0.812537
1477496993.575602,0.828163
1477496994.356888,0.781286
1477496995.060045,0.703157
1477496995.716325,0.656280
1477496996.435108,0.718783
1477496997.325773,0.890666
1477496998.122685,0.796911
1477496998.935222,0.812537
1477496999.747759,0.812537
1477497000.575922,0.828163
1477497001.372834,0.796911
1477497002.185371,0.812537
1477497002.997908,0.812537
1477497003.810445,0.812537
1477497004.622983,0.812537
1477497005.388643,0.765660
1477497006.138677,0.750034
1477497006.826208,0.687531
1477497007.466863,0.640654
1477497008.076266,0.609403
1477497008.716920,0.640654
1477497009.404451,0.687531
1477497013.670272,0.859414
1477497014.498435,0.828163
1477497015.342223,0.843789
1477497016.170386,0.828163
1477497016.982923,0.812537
1477497017.779835,0.796911
1477497018.467366,0.687531
1477497019.123646,0.656280
1477497019.748675,0.625029
1477497020.373703,0.625029
1477497021.014358,0.640654
1477497026.514610,0.765660
1477497027.280270,0.765660
1477497028.030304,0.750034
1477497028.749087,0.718783
1477497029.405367,0.656280
1477497030.046021,0.640654
1477497030.671050,0.625029
1477497031.342956,0.671906
1477497032.186744,0.843789
1477497033.061784,0.875040
1477497033.874321,0.812537
1477497034.686859,0.812537
1477497035.499396,0.812537
1477497036.296307,0.796911
1477497037.077593,0.781286
1477497037.812002,0.734409
1477497038.530785,0.718783
1477497039.249568,0.718783
1477497039.952725,0.703157
1477497040.624630,0.671906
1477497041.265285,0.640654
1477497041.890313,0.625029
1477497042.515342,0.625029
1477497043.234125,0.718783
1477497044.093539,0.859414
1477497044.890451,0.796911
1477497045.671736,0.781286
1477497046.453022,0.781286
1477497047.156179,0.703157
