unix_timestamp,rms_acc
1477495780.000000,31.384710
1477495780.080000,31.968735
1477495780.160000,31.384710
1477495780.240000,31.384710
1477495780.320000,31.032241
1477495780.400000,31.048349
1477495780.480000,31.591138
1477495780.560000,31.320920
1477495780.640000,31.543621
1477495780.720000,33.271610
1477495780.800000,28.600699
1477495780.880000,31.064449
1477495780.960000,32.015621
1477495781.040000,31.272992
1477495781.120000,32.878564
1477495781.200000,32.093613
1477495781.280000,32.093613
1477495781.360000,30.561414
1477495781.440000,28.982753
1477495781.520000,32.449961
1477495781.600000,32.388269
1477495781.680000,32.388269
1477495781.760000,30.479501
1477495781.840000,31.906112
1477495781.920000,31.320920
1477495782.000000,31.622777
1477495782.080000,31.400637
1477495782.160000,31.464265
1477495782.240000,30.083218
1477495782.320000,33.541020
1477495782.400000,32.046841
1477495782.480000,29.051678
1477495782.560000,31.384710
1477495782.640000,31.843367
1477495782.720000,30.331502
1477495782.800000,31.591138
1477495782.880000,27.820855
1477495782.960000,36.414283
1477495783.040000,33.852622
1477495783.120000,31.827661
1477495783.200000,31.128765
1477495783.280000,28.879058
1477495783.360000,28.442925
1477495783.440000,31.448370
1477495783.520000,34.365681
1477495783.600000,32.078030
1477495783.680000,31.843367
1477495783.760000,35.805028
1477495783.840000,30.099834
1477495783.920000,31.016125
1477495784.000000,31.701735
1477495784.080000,31.064449
1477495784.160000,31.208973
1477495784.240000,29.816103
1477495784.320000,31.208973
1477495784.400000,34.132096
1477495784.480000,31.000000
1477495784.560000,30.545049
1477495784.640000,29.614186
1477495784.720000,35.128336
1477495784.800000,32.015621
1477495784.880000,29.899833
1477495784.960000,31.272992
1477495785.040000,31.511903
1477495785.120000,32.280025
1477495785.200000,32.649655
1477495785.280000,32.817678
1477495785.360000,31.591138
1477495785.440000,30.016662
1477495785.520000,30.133038
1477495785.600000,31.622777
1477495785.680000,31.953091
1477495785.760000,30.870698
1477495785.840000,31.796226
1477495785.920000,31.208973
1477495786.000000,31.843367
1477495786.080000,30.298515
1477495786.160000,32.710854
1477495786.240000,31.575307
1477495786.320000,31.843367
1477495786.400000,31.780497
1477495786.480000,32.863353
1477495786.560000,31.160873
1477495786.640000,30.561414
1477495786.720000,30.692019
1477495786.800000,29.983329
1477495786.880000,31.843367
1477495786.960000,31.016125
1477495787.040000,30.724583
1477495787.120000,33.481338
1477495787.200000,31.685959
1477495787.280000,26.645825
1477495787.360000,35.014283
1477495787.440000,31.591138
1477495787.520000,33.481338
1477495787.600000,36.701499
1477495787.680000,36.959437
1477495787.760000,29.849623
1477495787.840000,28.757608
1477495787.920000,29.899833
1477495788.000000,28.460499
1477495788.080000,28.809721
1477495788.160000,34.219877
1477495788.240000,32.264532
1477495788.320000,28.248894
1477495788.400000,33.749074
1477495788.480000,34.539832
1477495788.560000,33.970576
1477495788.640000,31.874755
1477495788.720000,32.449961
1477495788.800000,31.448370
1477495788.880000,31.464265
1477495788.960000,31.448370
1477495789.040000,31.448370
1477495789.120000,31.080541
1477495789.200000,31.192948
1477495789.280000,30.675723
1477495789.360000,31.464265
1477495789.440000,30.248967
1477495789.520000,32.264532
1477495789.600000,30.740852
1477495789.680000,30.430248
1477495789.760000,29.580399
1477495789.840000,32.124757
1477495789.920000,31.016125
1477495790.000000,35.749126
1477495790.080000,30.133038
1477495790.160000,34.190642
1477495790.240000,29.899833
1477495790.320000,31.843367
1477495790.400000,31.953091
1477495790.480000,31.670175
1477495790.560000,30.740852
1477495790.640000,30.740852
1477495790.720000,33.075671
1477495790.800000,30.805844
1477495790.880000,32.202484
1477495790.960000,31.064449
1477495791.040000,30.805844
1477495791.120000,31.843367
1477495791.200000,31.591138
1477495791.280000,30.870698
1477495791.360000,34.899857
1477495791.440000,31.320920
1477495791.520000,31.559468
1477495791.600000,30.215890
1477495791.680000,30.870698
1477495791.760000,31.543621
1477495791.840000,30.870698
1477495791.920000,29.732137
1477495792.000000,33.196385
1477495792.080000,30.935417
1477495792.160000,32.202484
1477495792.240000,31.208973
1477495792.320000,31.843367
1477495792.400000,31.320920
1477495792.480000,33.226495
1477495792.560000,31.320920
1477495792.640000,31.240999
1477495792.720000,30.479501
1477495792.800000,30.870698
1477495792.880000,29.086079
1477495792.960000,31.543621
1477495793.040000,36.633318
1477495793.120000,29.698485
1477495793.200000,31.016125
1477495793.280000,33.361655
1477495793.360000,33.346664
1477495793.440000,31.843367
1477495793.520000,30.215890
1477495793.600000,30.692019
1477495793.680000,30.016662
1477495793.760000,29.529646
1477495793.840000,32.695565
1477495793.920000,32.695565
1477495794.000000,32.939338
1477495794.080000,28.442925
1477495794.160000,33.823069
1477495794.240000,31.622777
1477495794.320000,31.016125
1477495794.400000,30.282008
1477495794.480000,31.575307
1477495794.560000,31.016125
1477495794.640000,31.575307
1477495794.720000,31.953091
1477495794.800000,31.064449
1477495794.880000,31.843367
1477495794.960000,31.622777
1477495795.040000,30.528675
1477495795.120000,31.843367
1477495795.200000,32.388269
1477495795.280000,31.622777
1477495795.360000,30.870698
1477495795.440000,31.622777
1477495795.520000,30.870698
1477495795.600000,31.622777
1477495795.680000,31.320920
1477495795.760000,31.320920
1477495795.840000,31.320920
1477495795.920000,31.543621
1477495796.000000,31.843367
1477495796.080000,30.870698
1477495796.160000,29.748950
1477495796.240000,31.400637
1477495796.320000,32.155870
1477495796.400000,31.953091
1477495796.480000,31.064449
1477495796.560000,31.400637
1477495796.640000,31.953091
1477495796.720000,31.064449
1477495796.800000,32.526912
1477495796.880000,29.732137
1477495796.960000,31.064449
1477495797.040000,33.436507
1477495797.120000,32.526912
1477495797.200000,32.695565
1477495797.280000,32.155870
1477495797.360000,31.575307
1477495797.440000,32.511536
1477495797.520000,31.780497
1477495797.600000,30.430248
1477495797.680000,30.561414
1477495797.760000,31.780497
1477495797.840000,30.724583
1477495797.920000,30.724583
1477495798.000000,32.419130
1477495798.080000,31.384710
1477495798.160000,31.448370
1477495798.240000,33.136083
1477495798.320000,31.796226
1477495798.400000,28.930952
1477495798.480000,30.870698
1477495798.560000,32.093613
1477495798.640000,28.896367
1477495798.720000,31.527766
1477495798.800000,35.213634
1477495798.880000,33.075671
1477495798.960000,31.192948
1477495799.040000,33.256578
1477495799.120000,31.192948
1477495799.200000,31.192948
1477495799.280000,31.032241
1477495799.360000,31.448370
1477495799.440000,31.921779
1477495799.520000,32.771939
1477495799.600000,30.248967
1477495799.680000,31.511903
1477495799.760000,30.265492
1477495799.840000,34.073450
1477495799.920000,31.968735
1477495800.000000,29.580399
1477495800.080000,31.890437
1477495800.160000,31.764760
1477495800.240000,31.511903
1477495800.320000,28.635642
1477495800.400000,31.717503
1477495800.480000,33.436507
1477495800.560000,30.692019
1477495800.640000,31.527766
1477495800.720000,32.741411
1477495800.800000,30.626786
1477495800.880000,31.921779
1477495800.960000,32.572995
1477495801.040000,31.968735
1477495801.120000,31.874755
1477495801.200000,29.478806
1477495801.280000,32.695565
1477495801.360000,33.181320
1477495801.440000,30.364453
1477495801.520000,32.326460
1477495801.600000,31.240999
1477495801.680000,31.448370
1477495801.760000,32.264532
1477495801.840000,29.966648
1477495801.920000,32.526912
1477495802.000000,31.874755
1477495802.080000,30.528675
1477495802.160000,32.449961
1477495802.240000,31.320920
1477495802.320000,30.822070
1477495802.400000,31.827661
1477495802.480000,31.320920
1477495802.560000,32.078030
1477495802.640000,31.827661
1477495802.720000,30.479501
1477495802.800000,31.543621
1477495802.880000,30.561414
1477495802.960000,32.093613
1477495803.040000,31.780497
