unix_timestamp,x,y,z
1477077088.000000,-45,0,46
1477077088.031250,-44,-1,46
1477077088.062500,-44,0,46
1477077088.093750,-44,-1,46
1477077088.125000,-44,0,46
1477077088.156250,-44,-1,46
1477077088.187500,-45,-1,46
1477077088.218750,-45,-1,45
1477077088.250000,-45,-1,45
1477077088.281250,-46,-1,45
1477077088.312500,-45,-1,46
1477077088.343750,-43,1,47
1477077088.375000,-42,1,48
1477077088.406250,-42,0,48
1477077088.437500,-43,-1,47
1477077088.468750,-43,-1,47
1477077088.500000,-43,-1,47
1477077088.531250,-43,0,47
1477077088.562500,-44,0,46
1477077088.593750,-45,-1,46
1477077088.625000,-45,-1,46
1477077088.656250,-45,-1,46
1477077088.687500,-45,-1,46
1477077088.718750,-45,-1,45
1477077088.750000,-45,-1,45
1477077088.781250,-46,-1,45
1477077088.812500,-46,-1,45
1477077088.843750,-46,-1,45
1477077088.875000,-45,-1,45
1477077088.906250,-45,-1,46
1477077088.937500,-45,-1,46
1477077088.968750,-44,0,46
1477077089.000000,-44,-1,46
1477077089.031250,-44,0,46
1477077089.062500,-44,0,46
1477077089.093750,-45,0,46
1477077089.125000,-44,0,46
1477077089.156250,-44,0,46
1477077089.187500,-44,0,46
1477077089.218750,-44,0,46
1477077089.250000,-45,0,46
1477077089.281250,-45,-1,46
1477077089.312500,-45,-1,46
1477077089.343750,-45,-1,46
1477077089.375000,-45,-1,46
1477077089.406250,-45,-1,46
1477077089.437500,-45,-1,45
1477077089.468750,-45,-1,46
1477077089.500000,-45,-1,46
1477077089.531250,-45,-1,46
1477077089.562500,-45,-1,46
1477077089.593750,-44,-1,46
1477077089.625000,-44,-1,46
1477077089.656250,-45,-1,46
1477077089.687500,-45,-1,46
1477077089.718750,-45,-1,46
1477077089.750000,-45,-1,46
1477077089.781250,-45,0,46
1477077089.812500,-45,-1,46
1477077089.843750,-45,-1,46
1477077089.875000,-45,-1,46
1477077089.906250,-45,-1,46
1477077089.937500,-45,-1,46
1477077089.968750,-45,-1,46
1477077090.000000,-45,-1,46
1477077090.031250,-45,-1,46
1477077090.062500,-45,-1,46
1477077090.093750,-45,-1,46
1477077090.125000,-45,-1,46
1477077090.156250,-45,-1,46
1477077090.187500,-45,-1,46
1477077090.218750,-45,-1,46
1477077090.250000,-45,-1,46
1477077090.281250,-45,-1,46
1477077090.312500,-45,-1,46
1477077090.343750,-45,-1,46
1477077090.375000,-45,-1,46
1477077090.406250,-45,-1,46
1477077090.437500,-45,-1,46
1477077090.468750,-45,-1,46
1477077090.500000,-45,-1,46
1477077090.531250,-45,-1,46
1477077090.562500,-44,-1,46
1477077090.593750,-45,-1,46
1477077090.625000,-45,-1,46
1477077090.656250,-45,-1,46
1477077090.687500,-45,-1,46
1477077090.718750,-45,-1,46
1477077090.750000,-45,-1,46
1477077090.781250,-45,-1,46
1477077090.812500,-45,-1,46
1477077090.843750,-45,-1,46
1477077090.875000,-45,-1,46
1477077090.906250,-45,-1,46
1477077090.937500,-45,-1,46
1477077090.968750,-45,-1,46
1477077091.000000,-45,-1,46
1477077091.031250,-45,-1,46
1477077091.062500,-45,-1,45
1477077091.093750,-45,-1,46
1477077091.125000,-45,-1,45
1477077091.156250,-45,-1,45
1477077091.187500,-45,-1,46
1477077091.218750,-45,-1,45
1477077091.250000,-44,-1,46
1477077091.281250,-45,-1,46
1477077091.312500,-45,-1,45
1477077091.343750,-45,-1,46
1477077091.375000,-44,-1,46
1477077091.406250,-44,-1,46
1477077091.437500,-44,-1,46
1477077091.468750,-45,-1,46
1477077091.500000,-45,-1,46
1477077091.531250,-45,-1,46
1477077091.562500,-45,0,46
1477077091.593750,-45,-1,46
1477077091.625000,-45,-1,46
1477077091.656250,-45,0,46
1477077091.687500,-45,-1,46
1477077091.718750,-45,-1,46
1477077091.750000,-44,-1,46
1477077091.781250,-45,-1,46
1477077091.812500,-45,-1,45
1477077091.843750,-45,-1,46
1477077091.875000,-45,-1,45
1477077091.906250,-44,-1,46
1477077091.937500,-45,-1,46
1477077091.968750,-45,-1,46
1477077092.000000,-45,-1,46
1477077092.031250,-44,-1,46
1477077092.062500,-44,-1,46
1477077092.093750,-45,0,46
1477077092.125000,-45,-1,46
1477077092.156250,-45,-1,46
1477077092.187500,-45,-1,46
1477077092.218750,-45,-1,46
1477077092.250000,-45,-1,46
1477077092.281250,-45,0,46
1477077092.312500,-45,0,46
1477077092.343750,-45,-1,46
1477077092.375000,-45,-1,46
1477077092.406250,-45,-1,46
1477077092.437500,-45,-1,46
1477077092.468750,-45,-1,46
1477077092.500000,-45,-1,46
1477077092.531250,-45,-1,46
1477077092.562500,-45,-1,46
1477077092.593750,-45,-1,46
1477077092.625000,-45,-1,46
1477077092.656250,-45,0,46
1477077092.687500,-45,-1,46
1477077092.718750,-44,-1,46
1477077092.750000,-45,-1,46
1477077092.781250,-45,-1,46
1477077092.812500,-45,-1,46
1477077092.843750,-45,0,46
1477077092.875000,-45,0,46
1477077092.906250,-45,0,46
1477077092.937500,-45,-1,46
1477077092.968750,-45,-1,46
1477077093.000000,-45,-1,46
1477077093.031250,-45,-1,46
1477077093.062500,-45,-1,45
1477077093.093750,-45,-1,46
1477077093.125000,-45,-1,46
1477077093.156250,-44,0,46
1477077093.187500,-45,-1,45
1477077093.218750,-45,-1,46
1477077093.250000,-45,-1,46
1477077093.281250,-45,-1,46
1477077093.312500,-45,-1,46
1477077093.343750,-45,-1,46
1477077093.375000,-45,-1,46
1477077093.406250,-45,-1,46
1477077093.437500,-45,-1,46
1477077093.468750,-44,-1,46
1477077093.500000,-45,-1,45
1477077093.531250,-45,-1,46
1477077093.562500,-45,-1,46
1477077093.593750,-45,-1,46
1477077093.625000,-45,-1,46
1477077093.656250,-45,-1,46
1477077093.687500,-45,-1,46
1477077093.718750,-44,-1,46
1477077093.750000,-45,-1,46
1477077093.781250,-45,-1,45
1477077093.812500,-45,-1,46
1477077093.843750,-45,-1,46
1477077093.875000,-45,-1,46
1477077093.906250,-45,-1,45
1477077093.937500,-45,-1,46
1477077093.968750,-45,-1,46
1477077094.000000,-45,-1,46
1477077094.031250,-45,-1,45
1477077094.062500,-45,-1,46
1477077094.093750,-45,-1,46
1477077094.125000,-45,-1,46
1477077094.156250,-45,-1,46
1477077094.187500,-45,-1,46
1477077094.218750,-45,-1,46
1477077094.250000,-45,-1,46
1477077094.281250,-45,-1,46
1477077094.312500,-45,-1,46
1477077094.343750,-45,-1,46
1477077094.375000,-45,-1,46
1477077094.406250,-45,-1,46
1477077094.437500,-45,-1,46
1477077094.468750,-45,-1,46
1477077094.500000,-45,-1,46
1477077094.531250,-45,-1,46
1477077094.562500,-45,-1,45
1477077094.593750,-45,-1,46
1477077094.625000,-45,-1,46
1477077094.656250,-45,-1,46
1477077094.687500,-45,-1,45
1477077094.718750,-45,-1,46
1477077094.750000,-45,-1,46
1477077094.781250,-45,-1,46
1477077094.812500,-45,-1,46
1477077094.843750,-45,-1,45
1477077094.875000,-45,-1,46
1477077094.906250,-45,0,46
1477077094.937500,-45,-1,45
1477077094.968750,-45,-1,46
1477077095.000000,-45,-1,46
1477077095.031250,-45,-1,46
1477077095.062500,-45,-1,46
1477077095.093750,-45,-1,46
1477077095.125000,-45,-1,45
1477077095.156250,-45,-1,46
1477077095.187500,-45,-1,46
1477077095.218750,-45,-1,45
1477077095.250000,-45,-1,45
1477077095.281250,-45,-1,46
1477077095.312500,-45,-1,46
1477077095.343750,-45,-1,45
1477077095.375000,-45,-1,45
1477077095.406250,-45,-1,46
1477077095.437500,-45,-1,46
1477077095.468750,-45,-1,45
1477077095.500000,-45,-1,46
1477077095.531250,-45,-1,46
1477077095.562500,-45,-1,46
1477077095.593750,-45,-1,46
1477077095.625000,-45,-1,45
1477077095.656250,-45,-1,45
1477077095.687500,-45,-1,46
1477077095.718750,-45,-1,46
1477077095.750000,-45,-1,46
1477077095.781250,-45,-1,46
1477077095.812500,-45,-1,46
1477077095.843750,-45,-1,46
1477077095.875000,-45,-1,46
1477077095.906250,-45,-1,46
1477077095.937500,-45,-1,46
1477077095.968750,-45,-1,46
1477077096.000000,-45,0,46
1477077096.031250,-45,-1,46
1477077096.062500,-45,-1,46
1477077096.093750,-45,-1,46
1477077096.125000,-45,-1,46
1477077096.156250,-45,-1,45
1477077096.187500,-45,-1,46
1477077096.218750,-45,-1,46
1477077096.250000,-44,-1,46
1477077096.281250,-45,-1,46
1477077096.312500,-45,-1,46
1477077096.343750,-45,-1,45
1477077096.375000,-45,-1,46
1477077096.406250,-45,-1,46
1477077096.437500,-45,-1,46
1477077096.468750,-45,-1,45
1477077096.500000,-45,-1,45
1477077096.531250,-45,-1,46
1477077096.562500,-45,-1,46
1477077096.593750,-45,-1,45
1477077096.625000,-45,-1,46
1477077096.656250,-45,-1,45
1477077096.687500,-45,-1,46
1477077096.718750,-45,-1,45
1477077096.750000,-45,-1,46
1477077096.781250,-45,-1,46
1477077096.812500,-45,-1,46
1477077096.843750,-45,-1,46
1477077096.875000,-45,-1,46
1477077096.906250,-45,-1,46
1477077096.937500,-45,-1,45
1477077096.968750,-45,-1,46
1477077097.000000,-45,-1,46
1477077097.031250,-45,-1,45
1477077097.062500,-45,-1,45
1477077097.093750,-45,-1,45
1477077097.125000,-45,-1,45
1477077097.156250,-45,-1,46
1477077097.187500,-45,-1,45
1477077097.218750,-45,-1,46
1477077097.250000,-45,-1,46
1477077097.281250,-45,-1,46
1477077097.312500,-45,-1,46
1477077097.343750,-45,-1,45
1477077097.375000,-44,-1,46
1477077097.406250,-45,-1,45
1477077097.437500,-45,-1,46
1477077097.468750,-45,-1,45
1477077097.500000,-46,-1,45
1477077097.531250,-47,-1,44
1477077097.562500,-46,0,44
1477077097.593750,-47,1,45
1477077097.625000,-46,1,44
1477077097.656250,-47,1,44
1477077097.687500,-47,1,44
1477077097.718750,-47,1,43
1477077097.750000,-47,0,43
1477077097.781250,-47,0,43
1477077097.812500,-49,-1,42
1477077097.843750,-47,-2,43
1477077097.875000,-44,-2,45
1477077097.906250,-43,-1,47
1477077097.937500,-41,-1,49
1477077097.968750,-41,0,51
1477077098.000000,-37,2,52
1477077098.031250,-35,4,53
1477077098.062500,-39,1,48
1477077098.093750,-41,0,51
1477077098.125000,-42,0,51
1477077098.156250,-44,-1,48
1477077098.187500,-43,0,45
1477077098.218750,-42,1,46
1477077098.250000,-42,2,48
1477077098.281250,-40,3,50
1477077098.312500,-40,2,50
1477077098.343750,-40,0,49
1477077098.375000,-42,0,49
1477077098.406250,-44,-1,47
1477077098.437500,-45,0,46
1477077098.468750,-43,1,47
1477077098.500000,-42,2,48
1477077098.531250,-42,3,48
1477077098.562500,-41,3,48
1477077098.593750,-42,4,48
1477077098.625000,-43,5,48
1477077098.656250,-45,5,48
1477077098.687500,-44,5,48
1477077098.718750,-43,4,47
1477077098.750000,-43,4,47
1477077098.781250,-44,2,46
1477077098.812500,-44,1,47
1477077098.843750,-46,-1,44
1477077098.875000,-44,-1,44
1477077098.906250,-42,0,45
1477077098.937500,-38,2,49
1477077098.968750,-37,3,50
1477077099.000000,-34,4,53
1477077099.031250,-50,1,52
1477077099.062500,-55,-1,40
1477077099.093750,-47,0,43
1477077099.125000,-45,-1,44
1477077099.156250,-43,-2,45
1477077099.187500,-46,0,45
1477077099.218750,-45,2,45
1477077099.250000,-45,3,45
1477077099.281250,-45,3,45
1477077099.312500,-44,4,48
1477077099.343750,-47,4,47
1477077099.375000,-46,5,48
1477077099.406250,-46,2,46
1477077099.437500,-44,0,43
1477077099.468750,-40,1,44
1477077099.500000,-40,0,45
1477077099.531250,-40,2,50
1477077099.562500,-35,5,58
1477077099.593750,-53,2,42
1477077099.625000,-45,1,43
1477077099.656250,-38,4,47
1477077099.687500,-41,4,51
1477077099.718750,-43,4,51
1477077099.750000,-44,3,47
1477077099.781250,-45,3,47
1477077099.812500,-44,3,47
1477077099.843750,-42,4,51
1477077099.875000,-39,4,50
1477077099.906250,-41,0,46
1477077099.937500,-38,0,48
1477077099.968750,-37,-1,52
1477077100.000000,-39,1,50
1477077100.031250,-40,1,47
1477077100.062500,-39,1,48
1477077100.093750,-37,1,49
1477077100.125000,-38,4,51
1477077100.156250,-39,6,51
1477077100.187500,-40,7,51
1477077100.218750,-34,5,49
1477077100.250000,-35,5,51
1477077100.281250,-36,4,53
1477077100.312500,-38,4,53
1477077100.343750,-43,1,52
1477077100.375000,-41,2,53
1477077100.406250,-45,1,48
1477077100.437500,-40,3,47
1477077100.468750,-41,4,46
1477077100.500000,-45,3,46
1477077100.531250,-44,4,48
1477077100.562500,-41,3,48
1477077100.593750,-41,3,48
1477077100.625000,-42,3,49
1477077100.656250,-42,2,47
1477077100.687500,-43,2,46
1477077100.718750,-41,3,48
1477077100.750000,-41,3,48
1477077100.781250,-41,3,48
1477077100.812500,-42,3,49
1477077100.843750,-42,3,48
1477077100.875000,-41,3,49
1477077100.906250,-41,3,48
1477077100.937500,-41,3,50
1477077100.968750,-40,3,49
1477077101.000000,-41,2,47
1477077101.031250,-44,3,49
1477077101.062500,-42,2,48
1477077101.093750,-42,2,48
1477077101.125000,-42,2,47
1477077101.156250,-43,2,48
1477077101.187500,-43,2,47
1477077101.218750,-42,3,48
1477077101.250000,-42,3,48
1477077101.281250,-42,4,48
1477077101.312500,-42,4,47
1477077101.343750,-43,4,47
1477077101.375000,-42,4,48
1477077101.406250,-42,4,48
1477077101.437500,-41,4,48
1477077101.468750,-43,4,47
1477077101.500000,-42,4,48
1477077101.531250,-43,4,47
1477077101.562500,-42,4,48
1477077101.593750,-42,4,48
1477077101.625000,-42,5,48
1477077101.656250,-42,5,48
1477077101.687500,-42,4,48
1477077101.718750,-42,5,48
1477077101.750000,-43,4,48
1477077101.781250,-42,4,48
1477077101.812500,-42,4,47
1477077101.843750,-42,4,48
1477077101.875000,-43,4,48
1477077101.906250,-43,4,47
1477077101.937500,-42,4,48
1477077101.968750,-43,4,48
1477077102.000000,-42,4,47
1477077102.031250,-42,4,48
1477077102.062500,-42,3,48
1477077102.093750,-43,3,47
1477077102.125000,-42,3,48
1477077102.156250,-42,3,48
1477077102.187500,-42,3,48
1477077102.218750,-42,3,48
1477077102.250000,-42,3,48
1477077102.281250,-42,3,47
1477077102.312500,-43,3,48
1477077102.343750,-42,3,48
1477077102.375000,-42,3,48
1477077102.406250,-42,3,48
1477077102.437500,-42,4,48
1477077102.468750,-42,3,48
1477077102.500000,-42,3,48
1477077102.531250,-42,3,48
1477077102.562500,-42,3,48
1477077102.593750,-42,3,48
1477077102.625000,-42,3,49
1477077102.656250,-42,3,48
1477077102.687500,-42,3,48
1477077102.718750,-41,3,48
1477077102.750000,-41,3,48
1477077102.781250,-41,3,48
1477077102.812500,-41,3,48
1477077102.843750,-41,3,48
1477077102.875000,-42,3,48
1477077102.906250,-42,3,48
1477077102.937500,-41,3,49
1477077102.968750,-41,3,49
1477077103.000000,-41,3,49
1477077103.031250,-41,3,49
1477077103.062500,-41,3,49
1477077103.093750,-41,3,49
1477077103.125000,-41,3,49
1477077103.156250,-41,3,49
1477077103.187500,-41,3,49
1477077103.218750,-41,3,49
1477077103.250000,-41,3,49
1477077103.281250,-42,3,49
1477077103.312500,-41,3,49
1477077103.343750,-40,3,49
1477077103.375000,-40,3,50
1477077103.406250,-40,3,49
1477077103.437500,-40,3,49
1477077103.468750,-40,3,49
1477077103.500000,-40,3,50
1477077103.531250,-40,3,49
1477077103.562500,-40,3,49
1477077103.593750,-40,3,49
1477077103.625000,-40,3,49
1477077103.656250,-40,3,50
1477077103.687500,-40,2,50
1477077103.718750,-40,2,49
1477077103.750000,-40,3,50
1477077103.781250,-40,3,50
1477077103.812500,-40,3,50
1477077103.843750,-40,2,50
1477077103.875000,-40,2,50
1477077103.906250,-40,3,49
1477077103.937500,-40,3,50
1477077103.968750,-40,2,50
1477077104.000000,-40,2,50
1477077104.031250,-40,2,49
1477077104.062500,-40,3,50
1477077104.093750,-40,2,49
1477077104.125000,-40,3,50
1477077104.156250,-40,2,50
1477077104.187500,-40,3,50
1477077104.218750,-39,2,50
1477077104.250000,-40,2,50
1477077104.281250,-40,2,49
1477077104.312500,-39,3,50
1477077104.343750,-40,3,50
1477077104.375000,-40,3,50
1477077104.406250,-39,3,50
1477077104.437500,-39,2,50
1477077104.468750,-40,2,50
1477077104.500000,-40,2,50
1477077104.531250,-40,2,50
1477077104.562500,-40,2,49
1477077104.593750,-40,2,50
1477077104.625000,-40,2,49
1477077104.656250,-40,2,50
1477077104.687500,-40,2,50
1477077104.718750,-40,3,50
1477077104.750000,-39,3,50
1477077104.781250,-40,3,50
1477077104.812500,-40,2,50
1477077104.843750,-40,3,50
1477077104.875000,-40,3,50
1477077104.906250,-40,2,50
1477077104.937500,-39,3,50
1477077104.968750,-40,2,49
1477077105.000000,-40,2,50
1477077105.031250,-40,2,49
1477077105.062500,-40,2,50
1477077105.093750,-40,2,50
1477077105.125000,-40,2,49
1477077105.156250,-40,2,49
1477077105.187500,-40,2,50
1477077105.218750,-40,2,50
1477077105.250000,-40,2,50
1477077105.281250,-40,2,49
1477077105.312500,-40,2,50
1477077105.343750,-40,2,49
1477077105.375000,-40,2,50
1477077105.406250,-40,2,49
1477077105.437500,-40,2,49
1477077105.468750,-40,2,50
1477077105.500000,-40,2,50
1477077105.531250,-40,2,50
1477077105.562500,-40,2,49
1477077105.593750,-40,2,49
1477077105.625000,-40,2,50
1477077105.656250,-40,2,49
1477077105.687500,-40,2,49
1477077105.718750,-40,2,50
1477077105.750000,-40,2,49
1477077105.781250,-40,2,50
1477077105.812500,-40,2,49
1477077105.843750,-40,2,49
1477077105.875000,-40,2,50
1477077105.906250,-40,2,49
1477077105.937500,-40,2,49
1477077105.968750,-40,2,50
1477077106.000000,-40,2,49
1477077106.031250,-40,2,50
1477077106.062500,-40,3,49
1477077106.093750,-40,2,49
1477077106.125000,-40,2,50
1477077106.156250,-40,2,50
1477077106.187500,-40,2,50
1477077106.218750,-40,2,50
1477077106.250000,-40,2,49
1477077106.281250,-40,3,49
1477077106.312500,-40,2,49
1477077106.343750,-40,2,49
1477077106.375000,-40,2,50
1477077106.406250,-40,2,49
1477077106.437500,-40,2,49
1477077106.468750,-40,2,49
1477077106.500000,-40,2,49
1477077106.531250,-40,2,49
1477077106.562500,-40,2,50
1477077106.593750,-40,2,50
1477077106.625000,-40,2,49
1477077106.656250,-40,2,49
1477077106.687500,-40,2,49
1477077106.718750,-40,2,50
