unix_timestamp,x,y,z
1476804858.000000,-23,-3,59
1476804858.031250,-22,-4,59
1476804858.062500,-23,-4,59
1476804858.093750,-24,-4,58
1476804858.125000,-23,-4,59
1476804858.156250,-23,-4,59
1476804858.187500,-24,-4,59
1476804858.218750,-24,-4,58
1476804858.250000,-25,-4,58
1476804858.281250,-24,-4,59
1476804858.312500,-24,-4,58
1476804858.343750,-24,-4,58
1476804858.375000,-23,-4,59
1476804858.406250,-24,-4,58
1476804858.437500,-25,-4,58
1476804858.468750,-24,-4,59
1476804858.500000,-25,-4,58
1476804858.531250,-25,-4,58
1476804858.562500,-23,-4,59
1476804858.593750,-24,-4,59
1476804858.625000,-24,-4,58
1476804858.656250,-24,-4,58
1476804858.687500,-24,-4,58
1476804858.718750,-24,-4,58
1476804858.750000,-24,-4,58
1476804858.781250,-24,-4,58
1476804858.812500,-24,-3,58
1476804858.843750,-24,-4,58
1476804858.875000,-24,-4,58
1476804858.906250,-25,-4,58
1476804858.937500,-24,-4,59
1476804858.968750,-24,-4,58
1476804859.000000,-24,-4,58
1476804859.031250,-24,-4,58
1476804859.062500,-24,-4,58
1476804859.093750,-24,-4,58
1476804859.125000,-24,-4,58
1476804859.156250,-24,-4,58
1476804859.187500,-24,-4,58
1476804859.218750,-24,-4,58
1476804859.250000,-25,-4,58
1476804859.281250,-24,-4,59
1476804859.312500,-24,-4,58
1476804859.343750,-25,-4,58
1476804859.375000,-24,-4,58
1476804859.406250,-24,-4,58
1476804859.437500,-24,-4,59
1476804859.468750,-24,-4,58
1476804859.500000,-25,-4,58
1476804859.531250,-24,-4,59
1476804859.562500,-24,-4,58
1476804859.593750,-25,-4,58
1476804859.625000,-24,-4,59
1476804859.656250,-24,-4,58
1476804859.687500,-25,-4,58
1476804859.718750,-25,-4,58
1476804859.750000,-24,-4,59
1476804859.781250,-24,-4,58
1476804859.812500,-25,-4,58
1476804859.843750,-24,-4,58
1476804859.875000,-24,-4,59
1476804859.906250,-24,-4,58
1476804859.937500,-24,-4,59
1476804859.968750,-25,-4,58
1476804860.000000,-24,-4,58
1476804860.031250,-24,-4,59
1476804860.062500,-25,-3,58
1476804860.093750,-25,-3,58
1476804860.125000,-24,-3,59
1476804860.156250,-24,-3,58
1476804860.187500,-25,-3,58
1476804860.218750,-24,-4,58
1476804860.250000,-24,-4,59
1476804860.281250,-24,-4,58
1476804860.312500,-24,-4,58
1476804860.343750,-25,-3,58
1476804860.375000,-25,-3,58
1476804860.406250,-24,-3,59
1476804860.437500,-24,-3,58
1476804860.468750,-24,-3,58
1476804860.500000,-25,-4,58
1476804860.531250,-24,-4,58
1476804860.562500,-25,-4,59
1476804860.593750,-25,-4,58
1476804860.625000,-25,-4,58
1476804860.656250,-25,-4,58
1476804860.687500,-25,-4,58
1476804860.718750,-25,-4,58
1476804860.750000,-25,-4,58
1476804860.781250,-24,-4,59
1476804860.812500,-23,-3,58
1476804860.843750,-28,-3,57
1476804860.875000,-28,-2,57
1476804860.906250,-27,-3,58
1476804860.937500,-25,-3,58
1476804860.968750,-26,-3,58
1476804861.000000,-26,-3,58
1476804861.031250,-25,-3,58
1476804861.062500,-26,-3,58
1476804861.093750,-26,-4,57
1476804861.125000,-26,-4,58
1476804861.156250,-26,-3,57
1476804861.187500,-27,-3,57
1476804861.218750,-27,-3,57
1476804861.250000,-27,-3,57
1476804861.281250,-27,-3,58
1476804861.312500,-27,-3,57
1476804861.343750,-26,-3,57
1476804861.375000,-26,-3,57
1476804861.406250,-27,-3,57
1476804861.437500,-27,-3,57
