unix_timestamp,rr
1478284344.485000,0.792000
1478284345.272000,0.787000
1478284346.090000,0.818000
1478284346.875000,0.785000
1478284347.671000,0.796000
1478284348.501000,0.830000
1478284349.310000,0.809000
1478284350.059000,0.749000
1478284350.812000,0.753000
1478284351.568000,0.756000
1478284352.304000,0.736000
1478284353.067000,0.763000
1478284353.814000,0.747000
1478284354.535000,0.721000
1478284355.248000,0.713000
1478284355.966000,0.718000
1478284356.673000,0.707000
1478284357.422000,0.749000
1478284358.190000,0.768000
1478284358.949000,0.759000
1478284359.719000,0.770000
1478284360.530000,0.811000
1478284361.380000,0.850000
1478284362.183000,0.803000
1478284363.021000,0.838000
1478284363.862000,0.841000
1478284364.731000,0.869000
1478284365.579000,0.848000
1478284366.447000,0.868000
1478284367.291000,0.844000
1478284368.090000,0.799000
1478284368.890000,0.800000
1478284369.669000,0.779000
1478284370.400000,0.731000
1478284371.124000,0.724000
1478284371.875000,0.751000
1478284372.616000,0.741000
1478284373.335000,0.719000
1478284374.037000,0.702000
1478284374.762000,0.725000
1478284375.489000,0.727000
1478284376.290000,0.801000
1478284377.156000,0.866000
1478284377.963000,0.807000
1478284378.735000,0.772000
1478284379.519000,0.784000
1478284380.280000,0.761000
1478284381.015000,0.735000
1478284381.781000,0.766000
1478284382.514000,0.733000
1478284383.247000,0.733000
1478284383.988000,0.741000
1478284384.734000,0.746000
1478284385.482000,0.748000
1478284386.250000,0.768000
1478284386.999000,0.749000
1478284387.740000,0.741000
1478284388.463000,0.723000
1478284389.170000,0.707000
1478284389.900000,0.730000
1478284390.618000,0.718000
1478284391.319000,0.701000
1478284392.053000,0.734000
1478284392.797000,0.744000
1478284393.554000,0.757000
1478284394.337000,0.783000
1478284395.138000,0.801000
1478284395.962000,0.824000
1478284396.831000,0.869000
1478284397.638000,0.807000
1478284398.491000,0.853000
1478284399.346000,0.855000
1478284400.167000,0.821000
1478284401.071000,0.904000
1478284402.022000,0.951000
1478284402.918000,0.896000
1478284403.861000,0.943000
1478284404.866000,1.005000
1478284405.845000,0.979000
1478284406.765000,0.920000
1478284407.731000,0.966000
1478284408.718000,0.987000
1478284409.620000,0.902000
1478284410.595000,0.975000
1478284411.530000,0.935000
1478284412.384000,0.854000
1478284413.287000,0.903000
1478284414.088000,0.801000
1478284414.957000,0.869000
1478284415.835000,0.878000
1478284416.666000,0.831000
1478284417.518000,0.852000
1478284418.487000,0.969000
1478284419.481000,0.994000
1478284420.511000,1.030000
1478284421.470000,0.959000
1478284422.473000,1.003000
1478284423.440000,0.967000
1478284424.343000,0.903000
1478284425.266000,0.923000
1478284426.231000,0.965000
1478284427.175000,0.944000
1478284428.099000,0.924000
1478284429.001000,0.902000
1478284429.969000,0.968000
1478284430.936000,0.967000
1478284431.865000,0.929000
1478284432.759000,0.894000
1478284433.684000,0.925000
1478284434.563000,0.879000
