unix_timestamp,x,y,z
1478284344.000000,-59,8,26
1478284344.031250,-59,7,26
1478284344.062500,-59,7,25
1478284344.093750,-57,8,26
1478284344.125000,-59,7,25
1478284344.156250,-59,7,26
1478284344.187500,-60,7,25
1478284344.218750,-60,6,25
1478284344.250000,-59,6,25
1478284344.281250,-59,6,25
1478284344.312500,-58,6,26
1478284344.343750,-58,6,27
1478284344.375000,-59,6,26
1478284344.406250,-59,6,25
1478284344.437500,-58,6,26
1478284344.468750,-59,6,26
1478284344.500000,-59,6,26
1478284344.531250,-60,6,25
1478284344.562500,-60,6,25
1478284344.593750,-59,6,26
1478284344.625000,-58,6,26
1478284344.656250,-58,7,27
1478284344.687500,-59,6,27
1478284344.718750,-59,7,26
1478284344.750000,-61,7,25
1478284344.781250,-60,6,26
1478284344.812500,-61,7,25
1478284344.843750,-59,7,23
1478284344.875000,-59,6,24
1478284344.906250,-60,6,26
1478284344.937500,-57,6,27
1478284344.968750,-59,5,25
1478284345.000000,-59,6,26
1478284345.031250,-59,6,27
1478284345.062500,-59,6,26
1478284345.093750,-58,6,27
1478284345.125000,-59,6,25
1478284345.156250,-59,6,25
1478284345.187500,-60,6,25
1478284345.218750,-60,6,25
1478284345.250000,-59,6,25
1478284345.281250,-59,5,26
1478284345.312500,-59,6,25
1478284345.343750,-58,6,27
1478284345.375000,-60,5,27
1478284345.406250,-59,6,25
1478284345.437500,-59,6,25
1478284345.468750,-58,6,27
1478284345.500000,-59,6,27
1478284345.531250,-58,6,26
1478284345.562500,-59,6,26
1478284345.593750,-60,6,26
1478284345.625000,-60,6,24
1478284345.656250,-56,6,27
1478284345.687500,-58,6,26
1478284345.718750,-59,6,27
1478284345.750000,-58,6,26
1478284345.781250,-58,5,25
1478284345.812500,-59,6,27
1478284345.843750,-58,6,26
1478284345.875000,-58,6,25
1478284345.906250,-60,6,26
1478284345.937500,-60,6,26
1478284345.968750,-59,6,26
1478284346.000000,-59,6,26
1478284346.031250,-59,5,26
1478284346.062500,-58,6,25
1478284346.093750,-59,6,26
1478284346.125000,-59,5,27
1478284346.156250,-59,6,27
1478284346.187500,-58,6,25
1478284346.218750,-58,6,25
1478284346.250000,-58,6,25
1478284346.281250,-59,5,27
1478284346.312500,-60,6,25
1478284346.343750,-60,6,23
1478284346.375000,-59,5,26
1478284346.406250,-59,6,26
1478284346.437500,-58,6,27
1478284346.468750,-60,6,26
1478284346.500000,-59,6,27
1478284346.531250,-59,6,25
1478284346.562500,-58,5,25
1478284346.593750,-58,6,28
1478284346.625000,-56,5,27
1478284346.656250,-60,5,27
1478284346.687500,-58,5,26
1478284346.718750,-58,4,27
1478284346.750000,-58,5,26
1478284346.781250,-58,5,27
1478284346.812500,-59,5,26
1478284346.843750,-59,5,27
1478284346.875000,-58,6,27
1478284346.906250,-58,6,26
1478284346.937500,-59,6,25
1478284346.968750,-60,5,25
1478284347.000000,-59,6,26
1478284347.031250,-59,5,25
1478284347.062500,-59,5,25
1478284347.093750,-59,6,26
1478284347.125000,-59,6,26
1478284347.156250,-58,6,25
1478284347.187500,-59,6,25
1478284347.218750,-59,6,25
1478284347.250000,-59,6,26
1478284347.281250,-60,6,26
1478284347.312500,-60,7,26
1478284347.343750,-58,6,26
1478284347.375000,-60,6,25
1478284347.406250,-59,6,25
1478284347.437500,-59,6,26
1478284347.468750,-60,5,25
1478284347.500000,-59,6,26
1478284347.531250,-58,6,27
1478284347.562500,-60,6,24
1478284347.593750,-61,6,25
1478284347.625000,-60,5,26
1478284347.656250,-58,5,25
1478284347.687500,-58,5,27
1478284347.718750,-58,5,28
1478284347.750000,-57,5,28
1478284347.781250,-59,4,26
1478284347.812500,-64,4,26
1478284347.843750,-63,5,26
1478284347.875000,-56,5,25
1478284347.906250,-56,4,27
1478284347.937500,-55,5,32
1478284347.968750,-52,4,32
1478284348.000000,-55,3,30
1478284348.031250,-59,3,29
1478284348.062500,-59,3,28
1478284348.093750,-57,4,29
1478284348.125000,-57,4,29
1478284348.156250,-58,4,30
1478284348.187500,-58,5,29
1478284348.218750,-58,4,29
1478284348.250000,-58,4,29
1478284348.281250,-56,4,30
1478284348.312500,-58,4,28
1478284348.343750,-57,4,28
1478284348.375000,-68,2,28
1478284348.406250,-60,4,27
1478284348.437500,-60,4,26
1478284348.468750,-62,6,21
1478284348.500000,-63,3,28
1478284348.531250,-50,5,35
1478284348.562500,-52,5,31
1478284348.593750,-56,5,28
1478284348.625000,-61,5,26
1478284348.656250,-60,5,25
1478284348.687500,-61,5,26
1478284348.718750,-59,5,27
1478284348.750000,-58,6,27
1478284348.781250,-58,6,26
1478284348.812500,-58,6,25
1478284348.843750,-59,6,28
1478284348.875000,-59,6,27
1478284348.906250,-60,6,25
1478284348.937500,-59,6,25
1478284348.968750,-62,5,23
1478284349.000000,-59,5,27
1478284349.031250,-61,5,28
1478284349.062500,-57,6,26
1478284349.093750,-54,5,26
1478284349.125000,-60,6,29
