unix_timestamp,rr
1473783770.024000,0.988000
1473783771.015000,0.991000
1473783771.928000,0.913000
1473783772.885000,0.957000
1473783773.903000,1.018000
1473783774.930000,1.027000
1473783776.008000,1.078000
1473783777.126000,1.118000
1473783778.130000,1.004000
1473783778.997000,0.867000
1473783780.048000,1.051000
1473783781.240000,1.192000
1473783782.370000,1.130000
1473783783.429000,1.059000
1473783784.488000,1.059000
1473783785.453000,0.965000
1473783786.376000,0.923000
1473783787.338000,0.962000
1473783788.415000,1.077000
1473783789.481000,1.066000
1473783790.513000,1.032000
1473783791.536000,1.023000
1473783792.526000,0.990000
1473783793.529000,1.003000
1473783794.532000,1.003000
1473783795.513000,0.981000
1473783796.501000,0.988000
1473783797.509000,1.008000
1473783798.474000,0.965000
1473783799.485000,1.011000
1473783800.474000,0.989000
1473783801.465000,0.991000
1473783802.430000,0.965000
1473783803.374000,0.944000
1473783804.328000,0.954000
1473783805.294000,0.966000
1473783806.258000,0.964000
1473783807.213000,0.955000
1473783808.162000,0.949000
1473783809.149000,0.987000
1473783810.194000,1.045000
1473783811.256000,1.062000
1473783812.270000,1.014000
1473783813.230000,0.960000
1473783814.207000,0.977000
1473783815.151000,0.944000
1473783816.025000,0.874000
1473783816.926000,0.901000
1473783817.835000,0.909000
1473783818.759000,0.924000
1473783819.700000,0.941000
1473783820.678000,0.978000
1473783821.651000,0.973000
1473783822.625000,0.974000
1473783823.583000,0.958000
1473783824.495000,0.912000
1473783825.464000,0.969000
1473783826.417000,0.953000
1473783827.436000,1.019000
1473783828.401000,0.965000
1473783829.453000,1.052000
1473783830.454000,1.001000
1473783831.491000,1.037000
1473783832.513000,1.022000
1473783833.544000,1.031000
1473783834.545000,1.001000
1473783835.543000,0.998000
1473783836.577000,1.034000
1473783837.595000,1.018000
1473783838.609000,1.014000
1473783839.606000,0.997000
1473783840.580000,0.974000
1473783841.641000,1.061000
1473783842.660000,1.019000
1473783843.756000,1.096000
1473783844.838000,1.082000
1473783845.885000,1.047000
1473783846.958000,1.073000
1473783847.969000,1.011000
1473783849.000000,1.031000
1473783849.984000,0.984000
1473783851.037000,1.053000
1473783852.119000,1.082000
1473783853.152000,1.033000
1473783854.242000,1.090000
1473783855.301000,1.059000
1473783856.357000,1.056000
1473783857.458000,1.101000
1473783858.550000,1.092000
1473783859.632000,1.082000
1473783860.740000,1.108000
1473783861.752000,1.012000
1473783862.788000,1.036000
1473783863.827000,1.039000
1473783864.804000,0.977000
1473783865.796000,0.992000
1473783866.832000,1.036000
1473783867.912000,1.080000
1473783869.008000,1.096000
1473783870.075000,1.067000
1473783871.071000,0.996000
1473783872.144000,1.073000
1473783873.240000,1.096000
1473783874.244000,1.004000
1473783875.311000,1.067000
1473783876.426000,1.115000
1473783877.521000,1.095000
1473783878.588000,1.067000
1473783879.563000,0.975000
1473783880.580000,1.017000
1473783881.558000,0.978000
1473783882.420000,0.862000
1473783883.195000,0.775000
1473783884.019000,0.824000
1473783885.209000,1.190000
1473783886.368000,1.159000
1473783887.599000,1.231000
1473783888.803000,1.204000
1473783889.976000,1.173000
1473783891.083000,1.107000
1473783892.149000,1.066000
1473783893.126000,0.977000
1473783894.002000,0.876000
1473783894.805000,0.803000
1473783895.766000,0.961000
1473783896.951000,1.185000
1473783898.145000,1.194000
1473783899.296000,1.151000
1473783900.387000,1.091000
1473783901.440000,1.053000
1473783902.436000,0.996000
1473783903.357000,0.921000
1473783904.222000,0.865000
1473783905.216000,0.994000
1473783906.301000,1.085000
1473783907.386000,1.085000
1473783908.481000,1.095000
1473783909.557000,1.076000
1473783910.533000,0.976000
1473783911.427000,0.894000
1473783912.286000,0.859000
1473783913.041000,0.755000
1473783913.751000,0.710000
1473783914.480000,0.729000
1473783915.233000,0.753000
1473783916.031000,0.798000
1473783916.925000,0.894000
1473783917.837000,0.912000
1473783918.776000,0.939000
1473783919.726000,0.950000
1473783920.640000,0.914000
1473783921.551000,0.911000
1473783922.440000,0.889000
1473783923.287000,0.847000
1473783924.082000,0.795000
1473783924.903000,0.821000
1473783925.658000,0.755000
1473783926.444000,0.786000
1473783927.466000,1.022000
1473783928.595000,1.129000
1473783929.744000,1.149000
1473783930.898000,1.154000
1473783932.048000,1.150000
1473783933.173000,1.125000
1473783934.297000,1.124000
1473783935.372000,1.075000
1473783936.414000,1.042000
1473783937.411000,0.997000
1473783938.342000,0.931000
1473783939.199000,0.857000
1473783940.106000,0.907000
1473783941.227000,1.121000
1473783942.358000,1.131000
1473783943.487000,1.129000
1473783944.594000,1.107000
1473783945.686000,1.092000
1473783946.722000,1.036000
1473783947.732000,1.010000
1473783948.698000,0.966000
1473783949.603000,0.905000
1473783950.431000,0.828000
1473783951.267000,0.836000
1473783952.377000,1.110000
1473783953.571000,1.194000
1473783954.676000,1.105000
1473783955.816000,1.140000
1473783956.943000,1.127000
1473783958.045000,1.102000
1473783959.110000,1.065000
1473783960.150000,1.040000
1473783961.168000,1.018000
1473783962.165000,0.997000
1473783963.130000,0.965000
1473783964.068000,0.938000
1473783964.975000,0.907000
1473783965.807000,0.832000
1473783966.595000,0.788000
1473783967.422000,0.827000
1473783968.377000,0.955000
1473783969.444000,1.067000
1473783970.462000,1.018000
1473783971.512000,1.050000
1473783972.542000,1.030000
1473783973.604000,1.062000
1473783974.665000,1.061000
1473783975.694000,1.029000
1473783976.717000,1.023000
1473783977.734000,1.017000
1473783978.716000,0.982000
1473783979.642000,0.926000
1473783980.524000,0.882000
1473783981.341000,0.817000
1473783982.231000,0.890000
1473783983.253000,1.022000
1473783984.328000,1.075000
1473783985.394000,1.066000
1473783986.450000,1.056000
1473783987.485000,1.035000
1473783988.504000,1.019000
1473783989.494000,0.990000
1473783990.463000,0.969000
1473783991.375000,0.912000
1473783992.187000,0.812000
1473783992.988000,0.801000
1473783993.922000,0.934000
1473783995.017000,1.095000
1473783996.118000,1.101000
1473783997.232000,1.114000
1473783998.343000,1.111000
1473783999.426000,1.083000
1473784000.492000,1.066000
1473784001.536000,1.044000
1473784002.552000,1.016000
1473784003.545000,0.993000
1473784004.478000,0.933000
1473784005.354000,0.876000
1473784006.198000,0.844000
1473784007.148000,0.950000
1473784008.262000,1.114000
1473784009.356000,1.094000
1473784010.474000,1.118000
1473784011.574000,1.100000
1473784012.643000,1.069000
1473784013.699000,1.056000
1473784014.749000,1.050000
1473784015.790000,1.041000
1473784016.829000,1.039000
1473784017.861000,1.032000
1473784018.879000,1.018000
1473784019.351000,0.472000
1473784020.759000,1.408000
1473784021.644000,0.885000
1473784022.470000,0.826000
1473784023.418000,0.948000
1473784024.667000,1.249000
1473784026.032000,1.365000
