unix_timestamp,x,y,z
1479234772.000000,-49,33,25
1479234772.031250,-49,33,25
1479234772.062500,-49,33,25
1479234772.093750,-49,33,25
1479234772.125000,-49,33,25
1479234772.156250,-49,33,25
1479234772.187500,-49,33,24
1479234772.218750,-50,33,24
1479234772.250000,-49,34,25
1479234772.281250,-49,33,24
1479234772.312500,-50,34,24
1479234772.343750,-49,34,24
1479234772.375000,-49,34,24
1479234772.406250,-49,34,25
1479234772.437500,-49,34,24
1479234772.468750,-49,34,25
1479234772.500000,-49,34,25
1479234772.531250,-49,34,25
1479234772.562500,-49,34,25
1479234772.593750,-49,34,24
1479234772.625000,-49,34,25
1479234772.656250,-49,34,25
1479234772.687500,-49,34,24
1479234772.718750,-49,34,24
1479234772.750000,-49,34,25
1479234772.781250,-49,34,25
1479234772.812500,-49,34,25
1479234772.843750,-49,34,24
1479234772.875000,-49,34,24
1479234772.906250,-49,34,24
1479234772.937500,-49,34,24
1479234772.968750,-49,34,24
1479234773.000000,-49,34,25
1479234773.031250,-49,34,25
1479234773.062500,-49,34,24
1479234773.093750,-49,34,24
1479234773.125000,-49,34,25
1479234773.156250,-49,34,25
1479234773.187500,-49,34,24
1479234773.218750,-49,34,24
1479234773.250000,-49,34,24
1479234773.281250,-49,34,25
1479234773.312500,-49,33,25
1479234773.343750,-49,33,24
1479234773.375000,-49,33,25
1479234773.406250,-50,33,25
1479234773.437500,-50,33,25
1479234773.468750,-50,33,25
1479234773.500000,-50,33,25
1479234773.531250,-49,33,25
1479234773.562500,-50,33,25
1479234773.593750,-49,33,25
1479234773.625000,-49,33,25
1479234773.656250,-50,33,24
1479234773.687500,-50,33,25
1479234773.718750,-49,33,25
1479234773.750000,-50,33,25
1479234773.781250,-50,33,25
1479234773.812500,-50,33,24
1479234773.843750,-49,33,24
1479234773.875000,-49,33,24
1479234773.906250,-50,33,25
1479234773.937500,-49,33,25
1479234773.968750,-49,33,25
1479234774.000000,-49,33,25
1479234774.031250,-50,33,25
1479234774.062500,-50,33,25
1479234774.093750,-50,33,25
1479234774.125000,-50,33,25
1479234774.156250,-49,33,25
1479234774.187500,-50,33,25
1479234774.218750,-50,33,24
1479234774.250000,-50,33,25
1479234774.281250,-50,33,25
1479234774.312500,-50,33,25
1479234774.343750,-50,33,25
1479234774.375000,-49,33,24
1479234774.406250,-50,33,25
1479234774.437500,-50,33,25
1479234774.468750,-50,33,24
1479234774.500000,-50,33,24
1479234774.531250,-50,33,25
1479234774.562500,-50,33,25
1479234774.593750,-50,33,25
1479234774.625000,-50,33,25
1479234774.656250,-50,33,25
1479234774.687500,-50,33,25
1479234774.718750,-49,33,25
1479234774.750000,-49,33,24
1479234774.781250,-50,33,26
1479234774.812500,-50,33,25
1479234774.843750,-50,33,24
1479234774.875000,-50,33,24
1479234774.906250,-49,33,25
1479234774.937500,-50,33,24
1479234774.968750,-50,33,24
1479234775.000000,-50,33,24
1479234775.031250,-50,33,25
1479234775.062500,-50,33,25
1479234775.093750,-50,33,25
1479234775.125000,-50,33,24
1479234775.156250,-50,33,25
1479234775.187500,-50,33,25
1479234775.218750,-50,33,24
1479234775.250000,-50,33,24
1479234775.281250,-50,33,26
1479234775.312500,-51,33,24
1479234775.343750,-52,33,23
1479234775.375000,-50,33,25
1479234775.406250,-49,33,25
1479234775.437500,-49,33,25
1479234775.468750,-49,34,23
1479234775.500000,-51,33,24
1479234775.531250,-49,33,27
1479234775.562500,-49,32,25
1479234775.593750,-51,33,24
1479234775.625000,-51,33,24
1479234775.656250,-50,33,26
1479234775.687500,-50,33,24
1479234775.718750,-50,33,23
1479234775.750000,-52,33,23
1479234775.781250,-51,33,23
1479234775.812500,-49,33,25
1479234775.843750,-49,33,25
1479234775.875000,-51,33,22
1479234775.906250,-51,32,23
1479234775.937500,-50,33,24
1479234775.968750,-50,32,25
1479234776.000000,-50,33,24
1479234776.031250,-51,32,24
1479234776.062500,-51,33,24
1479234776.093750,-51,33,24
1479234776.125000,-50,33,24
1479234776.156250,-50,33,24
1479234776.187500,-51,33,23
1479234776.218750,-51,33,23
1479234776.250000,-51,33,23
1479234776.281250,-51,33,24
1479234776.312500,-51,33,24
1479234776.343750,-50,33,24
1479234776.375000,-50,33,24
1479234776.406250,-50,33,24
1479234776.437500,-51,33,24
1479234776.468750,-50,33,24
1479234776.500000,-50,33,24
1479234776.531250,-50,33,24
1479234776.562500,-50,33,24
1479234776.593750,-50,33,24
1479234776.625000,-51,33,24
1479234776.656250,-51,33,24
1479234776.687500,-50,33,24
1479234776.718750,-50,33,24
1479234776.750000,-50,33,24
1479234776.781250,-50,33,24
1479234776.812500,-50,32,24
1479234776.843750,-51,33,24
1479234776.875000,-51,33,24
1479234776.906250,-50,33,24
1479234776.937500,-48,33,23
1479234776.968750,-49,33,23
1479234777.000000,-52,33,25
1479234777.031250,-50,32,25
1479234777.062500,-49,32,24
1479234777.093750,-49,34,23
1479234777.125000,-49,34,23
1479234777.156250,-50,35,24
1479234777.187500,-51,35,24
1479234777.218750,-51,34,24
1479234777.250000,-48,34,24
1479234777.281250,-48,35,25
1479234777.312500,-49,34,24
1479234777.343750,-50,34,24
1479234777.375000,-50,34,23
1479234777.406250,-50,34,24
1479234777.437500,-50,33,24
1479234777.468750,-50,33,24
1479234777.500000,-50,33,24
1479234777.531250,-51,33,24
1479234777.562500,-51,33,24
1479234777.593750,-50,32,24
1479234777.625000,-50,32,24
1479234777.656250,-51,32,23
1479234777.687500,-51,32,24
1479234777.718750,-51,32,24
1479234777.750000,-51,32,24
1479234777.781250,-51,32,24
1479234777.812500,-51,32,24
1479234777.843750,-51,32,24
1479234777.875000,-51,32,24
1479234777.906250,-51,32,24
1479234777.937500,-51,33,24
