unix_timestamp,rr
1479234307.375000,0.602000
1479234307.976000,0.601000
1479234308.594000,0.618000
1479234309.229000,0.635000
1479234309.889000,0.660000
1479234310.543000,0.654000
1479234311.141000,0.598000
1479234311.739000,0.598000
1479234312.358000,0.619000
1479234312.978000,0.620000
1479234313.610000,0.632000
1479234314.241000,0.631000
1479234314.865000,0.624000
1479234315.475000,0.610000
1479234316.067000,0.592000
1479234316.678000,0.611000
1479234317.306000,0.628000
1479234317.934000,0.628000
1479234318.549000,0.615000
1479234319.142000,0.593000
1479234319.764000,0.622000
1479234320.398000,0.634000
1479234321.044000,0.646000
1479234321.683000,0.639000
1479234322.333000,0.650000
1479234322.991000,0.658000
1479234323.637000,0.646000
1479234324.266000,0.629000
1479234324.851000,0.585000
1479234325.434000,0.583000
1479234326.022000,0.588000
1479234326.625000,0.603000
1479234327.241000,0.616000
1479234327.851000,0.610000
1479234328.509000,0.658000
1479234329.272000,0.763000
1479234330.026000,0.754000
1479234330.725000,0.699000
1479234331.433000,0.708000
1479234332.124000,0.691000
1479234332.806000,0.682000
1479234333.460000,0.654000
1479234334.071000,0.611000
1479234334.669000,0.598000
1479234335.283000,0.614000
1479234335.924000,0.641000
1479234336.583000,0.659000
1479234337.265000,0.682000
1479234337.957000,0.692000
1479234338.641000,0.684000
1479234339.321000,0.680000
1479234339.964000,0.643000
1479234340.558000,0.594000
1479234341.138000,0.580000
1479234341.731000,0.593000
1479234342.356000,0.625000
1479234343.019000,0.663000
1479234343.665000,0.646000
1479234344.326000,0.661000
1479234344.990000,0.664000
1479234345.677000,0.687000
1479234346.329000,0.652000
1479234346.955000,0.626000
1479234347.574000,0.619000
1479234348.184000,0.610000
1479234348.789000,0.605000
1479234349.393000,0.604000
1479234350.003000,0.610000
1479234350.630000,0.627000
1479234351.238000,0.608000
1479234351.836000,0.598000
1479234352.453000,0.617000
1479234353.098000,0.645000
1479234353.773000,0.675000
1479234354.420000,0.647000
1479234355.021000,0.601000
1479234355.644000,0.623000
1479234356.274000,0.630000
1479234356.891000,0.617000
1479234357.491000,0.600000
1479234358.110000,0.619000
1479234358.748000,0.638000
1479234359.414000,0.666000
1479234360.098000,0.684000
1479234360.794000,0.696000
1479234361.478000,0.684000
1479234362.142000,0.664000
1479234362.787000,0.645000
1479234363.422000,0.635000
1479234364.037000,0.615000
1479234364.615000,0.578000
1479234365.194000,0.579000
1479234365.799000,0.605000
1479234366.461000,0.662000
1479234367.096000,0.635000
1479234367.687000,0.591000
1479234368.349000,0.662000
1479234369.015000,0.666000
1479234369.695000,0.680000
1479234370.417000,0.722000
1479234371.165000,0.748000
1479234371.871000,0.706000
1479234372.512000,0.641000
1479234373.178000,0.666000
1479234373.850000,0.672000
1479234374.503000,0.653000
1479234375.116000,0.613000
1479234375.740000,0.624000
1479234376.377000,0.637000
1479234377.029000,0.652000
1479234377.677000,0.648000
1479234378.289000,0.612000
1479234378.929000,0.640000
1479234379.590000,0.661000
1479234380.254000,0.664000
1479234380.899000,0.645000
1479234381.530000,0.631000
1479234382.194000,0.664000
1479234382.898000,0.704000
1479234383.583000,0.685000
1479234384.230000,0.647000
1479234384.888000,0.658000
1479234385.563000,0.675000
1479234386.262000,0.699000
1479234386.995000,0.733000
1479234387.719000,0.724000
1479234388.406000,0.687000
1479234389.070000,0.664000
1479234389.690000,0.620000
1479234390.283000,0.593000
1479234390.893000,0.610000
1479234391.535000,0.642000
1479234392.238000,0.703000
1479234392.944000,0.706000
1479234393.606000,0.662000
1479234394.281000,0.675000
1479234395.010000,0.729000
1479234395.768000,0.758000
1479234396.459000,0.691000
1479234397.086000,0.627000
1479234397.680000,0.594000
1479234398.270000,0.590000
1479234398.882000,0.612000
1479234399.529000,0.647000
1479234400.213000,0.684000
1479234400.906000,0.693000
1479234401.617000,0.711000
1479234402.317000,0.700000
1479234402.967000,0.650000
1479234403.612000,0.645000
1479234404.275000,0.663000
1479234404.949000,0.674000
1479234405.638000,0.689000
1479234406.345000,0.707000
1479234407.035000,0.690000
1479234407.681000,0.646000
1479234408.330000,0.649000
1479234408.983000,0.653000
1479234409.636000,0.653000
1479234410.276000,0.640000
1479234410.889000,0.613000
1479234411.501000,0.612000
1479234412.133000,0.632000
1479234412.789000,0.656000
1479234413.476000,0.687000
1479234414.174000,0.698000
1479234414.860000,0.686000
1479234415.533000,0.673000
1479234416.192000,0.659000
1479234416.835000,0.643000
1479234417.461000,0.626000
1479234418.075000,0.614000
1479234418.699000,0.624000
1479234419.310000,0.611000
1479234419.902000,0.592000
1479234420.520000,0.618000
1479234421.175000,0.655000
1479234421.855000,0.680000
1479234422.500000,0.645000
1479234423.107000,0.607000
1479234423.732000,0.625000
1479234424.360000,0.628000
1479234424.980000,0.620000
1479234425.578000,0.598000
1479234426.164000,0.586000
1479234426.764000,0.600000
1479234427.359000,0.595000
1479234427.946000,0.587000
1479234428.529000,0.583000
1479234429.131000,0.602000
1479234429.737000,0.606000
1479234430.349000,0.612000
1479234430.948000,0.599000
