unix_timestamp,rr
1479234852.542000,0.642000
1479234853.242000,0.700000
1479234853.954000,0.712000
1479234854.659000,0.705000
1479234855.331000,0.672000
1479234855.990000,0.659000
1479234856.672000,0.682000
1479234857.377000,0.705000
1479234858.089000,0.712000
1479234858.774000,0.685000
1479234859.422000,0.648000
1479234860.071000,0.649000
1479234860.734000,0.663000
1479234861.403000,0.669000
1479234862.067000,0.664000
1479234862.752000,0.685000
1479234863.491000,0.739000
1479234864.258000,0.767000
1479234865.009000,0.751000
1479234865.698000,0.689000
1479234866.352000,0.654000
1479234867.048000,0.696000
1479234867.730000,0.682000
1479234868.370000,0.640000
1479234868.969000,0.599000
1479234869.565000,0.596000
1479234870.186000,0.621000
1479234870.873000,0.687000
1479234871.621000,0.748000
1479234872.389000,0.768000
1479234873.142000,0.753000
1479234873.834000,0.692000
1479234874.504000,0.670000
1479234875.199000,0.695000
1479234875.921000,0.722000
1479234876.658000,0.737000
1479234877.354000,0.696000
1479234878.026000,0.672000
1479234878.750000,0.724000
1479234879.555000,0.805000
1479234880.367000,0.812000
1479234881.132000,0.765000
1479234881.848000,0.716000
1479234882.583000,0.735000
1479234883.371000,0.788000
1479234884.184000,0.813000
1479234884.943000,0.759000
1479234885.608000,0.665000
1479234886.227000,0.619000
1479234886.853000,0.626000
1479234887.518000,0.665000
1479234888.257000,0.739000
1479234889.041000,0.784000
1479234889.702000,0.661000
1479234890.313000,0.611000
1479234890.909000,0.596000
1479234891.543000,0.634000
1479234892.174000,0.631000
1479234892.783000,0.609000
1479234893.383000,0.600000
1479234893.970000,0.587000
1479234894.545000,0.575000
1479234895.134000,0.589000
1479234895.742000,0.608000
1479234896.374000,0.632000
1479234897.030000,0.656000
1479234897.671000,0.641000
1479234898.291000,0.620000
1479234898.943000,0.652000
1479234899.621000,0.678000
1479234900.318000,0.697000
1479234901.017000,0.699000
1479234901.670000,0.653000
1479234902.282000,0.612000
1479234902.898000,0.616000
1479234903.515000,0.617000
1479234904.151000,0.636000
1479234904.809000,0.658000
1479234905.477000,0.668000
1479234906.124000,0.647000
1479234906.796000,0.672000
1479234907.531000,0.735000
1479234908.251000,0.720000
1479234908.922000,0.671000
1479234909.558000,0.636000
1479234910.169000,0.611000
1479234910.789000,0.620000
1479234911.428000,0.639000
1479234912.080000,0.652000
1479234912.755000,0.675000
1479234913.429000,0.674000
1479234914.077000,0.648000
1479234914.696000,0.619000
1479234915.316000,0.620000
1479234916.031000,0.715000
1479234916.863000,0.832000
1479234917.652000,0.789000
1479234918.417000,0.765000
1479234919.163000,0.746000
1479234919.885000,0.722000
1479234920.589000,0.704000
1479234921.271000,0.682000
1479234921.917000,0.646000
1479234922.521000,0.604000
1479234923.118000,0.597000
1479234923.727000,0.609000
1479234924.398000,0.671000
1479234925.146000,0.748000
1479234925.935000,0.789000
1479234926.703000,0.768000
1479234927.424000,0.721000
1479234928.084000,0.660000
1479234928.691000,0.607000
1479234929.289000,0.598000
1479234929.889000,0.600000
1479234930.471000,0.582000
1479234931.052000,0.581000
1479234931.645000,0.593000
1479234932.302000,0.657000
1479234933.035000,0.733000
1479234933.785000,0.750000
1479234934.544000,0.759000
