unix_timestamp,rr
1477946073.441000,0.657000
1477946074.104000,0.663000
1477946074.806000,0.702000
1477946075.559000,0.753000
1477946076.369000,0.810000
1477946077.163000,0.794000
1477946077.925000,0.762000
1477946078.695000,0.770000
1477946079.470000,0.775000
1477946080.239000,0.769000
1477946080.984000,0.745000
1477946081.665000,0.681000
1477946082.354000,0.689000
1477946083.060000,0.706000
1477946083.816000,0.756000
1477946084.586000,0.770000
1477946085.288000,0.702000
1477946085.992000,0.704000
1477946086.681000,0.689000
1477946087.389000,0.708000
1477946088.077000,0.688000
1477946088.713000,0.636000
1477946089.354000,0.641000
1477946090.006000,0.652000
1477946090.687000,0.681000
1477946091.400000,0.713000
1477946092.119000,0.719000
1477946092.793000,0.674000
1477946093.455000,0.662000
1477946094.108000,0.653000
1477946094.747000,0.639000
1477946095.357000,0.610000
1477946095.972000,0.615000
1477946096.585000,0.613000
1477946097.240000,0.655000
1477946097.914000,0.674000
1477946098.619000,0.705000
1477946099.327000,0.708000
1477946099.990000,0.663000
1477946100.678000,0.688000
1477946101.356000,0.678000
1477946102.010000,0.654000
1477946102.671000,0.661000
1477946103.349000,0.678000
1477946104.102000,0.753000
1477946104.906000,0.804000
1477946105.652000,0.746000
1477946106.404000,0.752000
1477946107.139000,0.735000
1477946107.819000,0.680000
1477946108.522000,0.703000
1477946109.226000,0.704000
1477946109.955000,0.729000
1477946110.648000,0.693000
1477946111.358000,0.710000
1477946112.078000,0.720000
1477946112.840000,0.762000
1477946113.601000,0.761000
1477946114.355000,0.754000
1477946115.113000,0.758000
1477946115.862000,0.749000
1477946116.587000,0.725000
1477946117.258000,0.671000
1477946117.944000,0.686000
1477946118.633000,0.689000
1477946119.356000,0.723000
1477946120.062000,0.706000
1477946120.769000,0.707000
1477946121.485000,0.716000
1477946122.223000,0.738000
1477946122.984000,0.761000
1477946123.728000,0.744000
1477946124.442000,0.714000
1477946125.127000,0.685000
1477946125.813000,0.686000
1477946126.479000,0.666000
1477946127.209000,0.730000
1477946128.004000,0.795000
1477946128.817000,0.813000
1477946129.579000,0.762000
1477946130.334000,0.755000
1477946131.082000,0.748000
1477946131.812000,0.730000
1477946132.546000,0.734000
1477946133.257000,0.711000
1477946133.932000,0.675000
1477946134.614000,0.682000
1477946135.297000,0.683000
1477946136.021000,0.724000
1477946136.742000,0.721000
1477946137.438000,0.696000
1477946138.144000,0.706000
1477946138.861000,0.717000
1477946139.574000,0.713000
1477946140.227000,0.653000
1477946140.827000,0.600000
1477946141.405000,0.578000
1477946141.983000,0.578000
1477946142.549000,0.566000
1477946143.130000,0.581000
1477946143.784000,0.654000
1477946144.573000,0.789000
1477946145.400000,0.827000
1477946146.234000,0.834000
1477946146.995000,0.761000
1477946147.711000,0.716000
1477946148.424000,0.713000
1477946149.119000,0.695000
1477946149.808000,0.689000
1477946150.460000,0.652000
1477946151.081000,0.621000
1477946151.684000,0.603000
1477946152.302000,0.618000
1477946152.977000,0.675000
1477946153.818000,0.841000
1477946154.712000,0.894000
1477946155.575000,0.863000
1477946156.377000,0.802000
1477946157.172000,0.795000
1477946157.928000,0.756000
1477946158.634000,0.706000
1477946159.349000,0.715000
1477946160.053000,0.704000
1477946160.757000,0.704000
1477946161.435000,0.678000
1477946162.108000,0.673000
1477946162.794000,0.686000
1477946163.503000,0.709000
1477946164.250000,0.747000
1477946164.993000,0.743000
1477946165.712000,0.719000
1477946166.461000,0.749000
1477946167.229000,0.768000
1477946167.965000,0.736000
1477946168.676000,0.711000
1477946169.335000,0.659000
1477946169.982000,0.647000
1477946170.596000,0.614000
1477946171.185000,0.589000
1477946171.772000,0.587000
1477946172.360000,0.588000
1477946172.967000,0.607000
1477946173.615000,0.648000
1477946174.276000,0.661000
1477946174.968000,0.692000
1477946175.651000,0.683000
1477946176.311000,0.660000
1477946176.981000,0.670000
1477946177.648000,0.667000
1477946178.332000,0.684000
1477946179.012000,0.680000
1477946179.687000,0.675000
1477946180.366000,0.679000
1477946181.000000,0.634000
1477946181.648000,0.648000
1477946182.302000,0.654000
1477946182.999000,0.697000
1477946183.755000,0.756000
1477946184.546000,0.791000
1477946185.256000,0.710000
1477946185.898000,0.642000
1477946186.520000,0.622000
1477946187.141000,0.621000
1477946187.807000,0.666000
1477946188.564000,0.757000
1477946189.359000,0.795000
1477946190.133000,0.774000
1477946190.881000,0.748000
1477946191.608000,0.727000
1477946192.316000,0.708000
1477946193.008000,0.692000
1477946193.664000,0.656000
1477946194.288000,0.624000
1477946194.889000,0.601000
1477946195.481000,0.592000
1477946196.078000,0.597000
1477946196.715000,0.637000
1477946197.522000,0.807000
1477946198.434000,0.912000
1477946199.307000,0.873000
1477946200.148000,0.841000
1477946200.959000,0.811000
1477946201.744000,0.785000
1477946202.496000,0.752000
1477946203.219000,0.723000
1477946203.913000,0.694000
1477946204.595000,0.682000
1477946205.272000,0.677000
1477946205.925000,0.653000
1477946206.548000,0.623000
1477946207.149000,0.601000
1477946207.740000,0.591000
1477946208.334000,0.594000
1477946208.958000,0.624000
1477946209.679000,0.721000
1477946210.563000,0.884000
1477946211.472000,0.909000
1477946212.359000,0.887000
1477946213.211000,0.852000
1477946214.020000,0.809000
1477946214.788000,0.768000
1477946215.522000,0.734000
1477946216.201000,0.679000
1477946216.835000,0.634000
1477946217.439000,0.604000
1477946218.022000,0.583000
1477946218.594000,0.572000
1477946219.174000,0.580000
1477946219.802000,0.628000
1477946220.582000,0.780000
1477946221.491000,0.909000
1477946222.388000,0.897000
1477946223.266000,0.878000
1477946224.101000,0.835000
1477946224.895000,0.794000
1477946225.651000,0.756000
1477946226.366000,0.715000
1477946227.060000,0.694000
1477946227.723000,0.663000
1477946228.353000,0.630000
1477946228.962000,0.609000
1477946229.569000,0.607000
1477946230.190000,0.621000
1477946230.858000,0.668000
1477946231.617000,0.759000
1477946232.418000,0.801000
1477946233.209000,0.791000
1477946233.969000,0.760000
1477946234.706000,0.737000
1477946235.411000,0.705000
1477946236.066000,0.655000
1477946236.679000,0.613000
1477946237.264000,0.585000
1477946237.825000,0.561000
1477946238.375000,0.550000
1477946238.921000,0.546000
1477946239.475000,0.554000
1477946240.066000,0.591000
1477946240.743000,0.677000
1477946241.498000,0.755000
1477946242.311000,0.813000
1477946243.146000,0.835000
1477946243.973000,0.827000
1477946244.769000,0.796000
1477946245.529000,0.760000
1477946246.253000,0.724000
1477946246.952000,0.699000
1477946247.621000,0.669000
1477946248.276000,0.655000
1477946248.918000,0.642000
1477946249.554000,0.636000
1477946250.189000,0.635000
1477946250.814000,0.625000
1477946251.428000,0.614000
1477946252.031000,0.603000
1477946252.627000,0.596000
1477946253.234000,0.607000
1477946253.902000,0.668000
1477946254.619000,0.717000
1477946255.324000,0.705000
1477946256.014000,0.690000
1477946256.708000,0.694000
1477946257.374000,0.666000
1477946258.030000,0.656000
1477946258.683000,0.653000
1477946259.336000,0.653000
1477946259.979000,0.643000
1477946260.581000,0.602000
1477946261.175000,0.594000
1477946261.753000,0.578000
1477946262.322000,0.569000
1477946262.885000,0.563000
1477946263.464000,0.579000
1477946264.088000,0.624000
1477946264.756000,0.668000
1477946265.446000,0.690000
1477946266.127000,0.681000
1477946266.783000,0.656000
1477946267.421000,0.638000
1477946268.050000,0.629000
1477946268.676000,0.626000
