unix_timestamp,x,y,z
1478799180.750000,22,13,57
1478799180.781250,22,12,57
1478799180.812500,24,11,58
1478799180.843750,23,11,57
1478799180.875000,22,12,58
1478799180.906250,21,13,56
1478799180.937500,22,13,57
1478799180.968750,22,12,57
1478799181.000000,23,12,57
1478799181.031250,23,11,57
1478799181.062500,22,11,57
1478799181.093750,21,12,57
1478799181.125000,21,13,57
1478799181.156250,22,12,57
1478799181.187500,23,11,58
1478799181.218750,24,11,57
1478799181.250000,22,12,58
1478799181.281250,20,13,56
1478799181.312500,21,13,57
1478799181.343750,22,13,57
1478799181.375000,22,12,57
1478799181.406250,23,11,58
1478799181.437500,23,11,58
1478799181.468750,21,12,58
1478799181.500000,21,13,57
1478799181.531250,22,13,57
1478799181.562500,22,12,57
1478799181.593750,23,12,57
1478799181.625000,23,12,57
1478799181.656250,22,12,57
1478799181.687500,22,12,57
1478799181.718750,22,12,57
1478799181.750000,22,12,57
1478799181.781250,22,12,57
1478799181.812500,23,12,57
1478799181.843750,23,11,57
1478799181.875000,22,12,57
1478799181.906250,22,12,57
1478799181.937500,22,12,57
1478799181.968750,22,12,57
1478799182.000000,22,11,57
1478799182.031250,22,12,57
1478799182.062500,22,12,57
1478799182.093750,22,12,56
1478799182.125000,22,11,56
1478799182.156250,23,11,59
1478799182.187500,22,11,58
1478799182.218750,21,10,57
1478799182.250000,22,14,59
1478799182.281250,19,15,58
1478799182.312500,18,16,56
1478799182.343750,19,15,56
1478799182.375000,22,13,57
1478799182.406250,24,12,57
1478799182.437500,25,12,55
1478799182.468750,25,11,55
1478799182.500000,25,12,57
1478799182.531250,22,13,58
1478799182.562500,21,13,58
1478799182.593750,23,11,60
1478799182.625000,18,10,55
1478799182.656250,21,10,57
1478799182.687500,20,11,60
1478799182.718750,19,12,59
1478799182.750000,20,13,57
1478799182.781250,20,14,55
1478799182.812500,21,15,56
1478799182.843750,20,14,57
1478799182.875000,20,13,57
1478799182.906250,22,10,57
1478799182.937500,24,8,59
1478799182.968750,20,10,58
1478799183.000000,20,12,58
1478799183.031250,20,12,59
1478799183.062500,20,11,57
1478799183.093750,21,11,58
1478799183.125000,22,11,59
1478799183.156250,23,11,60
1478799183.187500,26,9,62
