unix_timestamp,rr
1478799176.169000,0.646000
1478799176.820000,0.651000
1478799177.502000,0.682000
1478799178.216000,0.714000
1478799178.998000,0.782000
1478799179.642000,0.644000
1478799180.274000,0.632000
1478799180.878000,0.604000
1478799181.472000,0.594000
1478799182.055000,0.583000
1478799182.638000,0.583000
1478799183.202000,0.564000
1478799183.763000,0.561000
1478799184.318000,0.555000
1478799184.916000,0.598000
1478799185.633000,0.717000
1478799186.504000,0.871000
1478799187.302000,0.798000
1478799188.010000,0.708000
1478799188.650000,0.640000
1478799189.265000,0.615000
1478799189.909000,0.644000
1478799190.545000,0.636000
1478799191.197000,0.652000
1478799191.845000,0.648000
1478799192.458000,0.613000
1478799193.077000,0.619000
1478799193.722000,0.645000
1478799194.420000,0.698000
1478799195.220000,0.800000
1478799195.953000,0.733000
1478799196.601000,0.648000
1478799197.206000,0.605000
1478799197.817000,0.611000
1478799198.442000,0.625000
1478799199.102000,0.660000
1478799199.774000,0.672000
1478799200.422000,0.648000
1478799201.033000,0.611000
1478799201.630000,0.597000
1478799202.265000,0.635000
1478799202.909000,0.644000
1478799203.607000,0.698000
1478799204.355000,0.748000
1478799205.029000,0.674000
1478799205.653000,0.624000
1478799206.260000,0.607000
1478799206.864000,0.604000
1478799207.449000,0.585000
1478799208.021000,0.572000
1478799208.582000,0.561000
1478799209.142000,0.560000
1478799209.710000,0.568000
1478799210.292000,0.582000
1478799210.907000,0.615000
1478799211.632000,0.725000
1478799212.346000,0.714000
1478799213.078000,0.732000
1478799213.727000,0.649000
1478799214.350000,0.623000
1478799214.950000,0.600000
1478799215.549000,0.599000
1478799216.164000,0.615000
1478799216.813000,0.649000
1478799217.556000,0.743000
1478799218.386000,0.830000
1478799219.193000,0.807000
1478799219.951000,0.758000
1478799220.647000,0.696000
1478799221.305000,0.658000
1478799221.927000,0.622000
1478799222.521000,0.594000
1478799223.104000,0.583000
1478799223.701000,0.597000
1478799224.321000,0.620000
1478799225.064000,0.743000
1478799225.943000,0.879000
1478799226.738000,0.795000
1478799227.452000,0.714000
1478799228.189000,0.737000
1478799228.928000,0.739000
1478799229.666000,0.738000
1478799230.327000,0.661000
1478799230.970000,0.643000
1478799231.574000,0.604000
1478799232.165000,0.591000
1478799232.764000,0.599000
1478799233.383000,0.619000
1478799234.037000,0.654000
1478799234.697000,0.660000
1478799235.335000,0.638000
1478799235.997000,0.662000
1478799236.718000,0.721000
1478799237.426000,0.708000
1478799238.056000,0.630000
1478799238.682000,0.626000
1478799239.337000,0.655000
1478799240.024000,0.687000
1478799240.749000,0.725000
1478799241.461000,0.712000
1478799242.148000,0.687000
1478799242.862000,0.714000
1478799243.108000,0.246000
1478799243.563000,0.455000
1478799244.225000,0.662000
1478799244.874000,0.649000
1478799245.481000,0.607000
1478799246.108000,0.627000
1478799246.764000,0.656000
1478799247.544000,0.780000
1478799248.374000,0.830000
1478799249.170000,0.796000
1478799249.874000,0.704000
1478799250.546000,0.672000
1478799251.270000,0.724000
1478799252.060000,0.790000
1478799252.851000,0.791000
1478799253.625000,0.774000
1478799254.323000,0.698000
1478799254.954000,0.631000
1478799255.584000,0.630000
1478799256.222000,0.638000
1478799256.894000,0.672000
1478799257.623000,0.729000
1478799258.324000,0.701000
1478799258.980000,0.656000
1478799259.631000,0.651000
1478799260.309000,0.678000
1478799261.010000,0.701000
1478799261.699000,0.689000
1478799262.344000,0.645000
1478799262.962000,0.618000
1478799263.579000,0.617000
1478799264.231000,0.652000
1478799264.933000,0.702000
1478799265.724000,0.791000
1478799266.481000,0.757000
1478799267.193000,0.712000
1478799267.869000,0.676000
1478799268.536000,0.667000
1478799269.163000,0.627000
1478799269.775000,0.612000
1478799270.390000,0.615000
1478799271.049000,0.659000
1478799271.774000,0.725000
1478799272.618000,0.844000
1478799273.426000,0.808000
1478799274.160000,0.734000
1478799274.830000,0.670000
1478799275.528000,0.698000
1478799276.255000,0.727000
1478799277.012000,0.757000
1478799277.703000,0.691000
1478799278.339000,0.636000
1478799278.954000,0.615000
1478799279.588000,0.634000
1478799280.300000,0.712000
1478799281.034000,0.734000
1478799281.806000,0.772000
1478799282.480000,0.674000
1478799283.170000,0.690000
1478799283.831000,0.661000
1478799284.481000,0.650000
1478799285.095000,0.614000
1478799285.692000,0.597000
1478799286.266000,0.574000
1478799286.842000,0.576000
1478799287.481000,0.639000
1478799288.250000,0.769000
1478799289.080000,0.830000
1478799289.886000,0.806000
1478799290.677000,0.791000
1478799291.395000,0.718000
1478799292.101000,0.706000
1478799292.782000,0.681000
1478799293.531000,0.749000
1478799294.270000,0.739000
1478799294.947000,0.677000
1478799295.569000,0.622000
1478799296.193000,0.624000
1478799296.864000,0.671000
1478799297.684000,0.820000
1478799298.458000,0.774000
1478799299.213000,0.755000
1478799299.941000,0.728000
1478799300.597000,0.656000
1478799301.268000,0.671000
1478799301.982000,0.714000
1478799302.736000,0.754000
1478799303.470000,0.734000
1478799304.144000,0.674000
1478799304.799000,0.655000
1478799305.496000,0.697000
1478799306.200000,0.704000
1478799306.898000,0.698000
1478799307.557000,0.659000
1478799308.184000,0.627000
1478799308.818000,0.634000
1478799309.495000,0.677000
1478799310.205000,0.710000
1478799310.958000,0.753000
1478799311.690000,0.732000
1478799312.342000,0.652000
1478799312.995000,0.653000
1478799313.681000,0.686000
1478799314.362000,0.681000
1478799315.056000,0.694000
1478799315.742000,0.686000
1478799316.387000,0.645000
1478799317.007000,0.620000
1478799317.653000,0.646000
1478799318.335000,0.682000
1478799319.073000,0.738000
1478799319.812000,0.739000
1478799320.480000,0.668000
1478799321.125000,0.645000
1478799321.820000,0.695000
1478799322.546000,0.726000
1478799323.244000,0.698000
1478799323.912000,0.668000
1478799324.528000,0.616000
1478799325.120000,0.592000
1478799325.698000,0.578000
1478799326.274000,0.576000
1478799327.106000,0.832000
1478799327.828000,0.722000
1478799328.503000,0.675000
1478799329.157000,0.654000
1478799329.812000,0.655000
1478799330.482000,0.670000
1478799331.126000,0.644000
1478799331.784000,0.658000
1478799332.452000,0.668000
1478799333.102000,0.650000
1478799333.763000,0.661000
1478799334.405000,0.642000
1478799335.031000,0.626000
1478799335.644000,0.613000
1478799336.251000,0.607000
1478799336.848000,0.597000
1478799337.495000,0.647000
1478799338.146000,0.651000
1478799338.807000,0.661000
1478799339.459000,0.652000
1478799340.070000,0.611000
1478799340.679000,0.609000
1478799341.293000,0.614000
1478799341.898000,0.605000
1478799342.509000,0.611000
1478799343.126000,0.617000
1478799343.725000,0.599000
1478799344.305000,0.580000
1478799344.883000,0.578000
1478799345.490000,0.607000
1478799346.167000,0.677000
1478799346.872000,0.705000
1478799347.641000,0.769000
1478799348.305000,0.664000
1478799348.915000,0.610000
1478799349.523000,0.608000
1478799350.148000,0.625000
1478799350.781000,0.633000
